,ticker,ttm,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total revenue(figures in $M),A,6930.0,6848.0,6319.0,5339.0,5163.0
Cost of revenue(figures in $M),A,3150.0,3126.0,2912.0,2502.0,2358.0
Gross profit(figures in $M),A,3780.0,3722.0,3407.0,2837.0,2805.0
Research development(figures in $M),A,473.0,467.0,441.0,495.0,404.0
Selling general and administrative(figures in $M),A,1639.0,1637.0,1619.0,1496.0,1460.0
Total operating expenses(figures in $M),A,2112.0,2104.0,2060.0,1991.0,1864.0
Operating income or loss(figures in $M),A,1668.0,1618.0,1347.0,846.0,941.0
Interest expense(figures in $M),A,88.0,84.0,81.0,78.0,74.0
Total other income/expenses net(figures in $M),A,,-39.0,92.0,66.0,16.0
Income before tax(figures in $M),A,1595.0,1504.0,1360.0,842.0,919.0
Income tax expense(figures in $M),A,272.0,250.0,150.0,123.0,-152.0
Income from continuing operations(figures in $M),A,1323.0,1254.0,1210.0,719.0,1071.0
Net income(figures in $M),A,1323.0,1254.0,1210.0,719.0,1071.0
Net income available to common shareholders(figures in $M),A,1323.0,1254.0,1210.0,719.0,1071.0
Basic EPS(figures in $M),A,,4.1900000000000005e-06,3.98e-06,2.33e-06,3.41e-06
Diluted EPS(figures in $M),A,,4.18e-06,3.9399999999999995e-06,2.3e-06,3.37e-06
Basic average shares(figures in $M),A,,299.0,304.0,309.0,314.0
Diluted average shares(figures in $M),A,,300.0,307.0,312.0,318.0
EBITDA(figures in $M),A,,1905.0,1762.0,1228.0,1231.0
