,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AA,12451.0,12451.0,12152.0,9286.0,10433.0
Cost of revenue(figures in $M),AA,10212.0,10212.0,9153.0,7969.0,8537.0
Gross profit(figures in $M),AA,2239.0,2239.0,2999.0,1317.0,1896.0
Research development(figures in $M),AA,32.0,32.0,31.0,27.0,27.0
Selling general and administrative(figures in $M),AA,204.0,204.0,227.0,206.0,280.0
Total operating expenses(figures in $M),AA,908.0,853.0,922.0,886.0,1020.0
Operating income or loss(figures in $M),AA,1331.0,1386.0,2077.0,431.0,876.0
Interest expense(figures in $M),AA,106.0,106.0,195.0,146.0,121.0
Total other income/expenses net(figures in $M),AA,-523.0,-557.0,-683.0,-112.0,-1193.0
Income before tax(figures in $M),AA,702.0,723.0,1199.0,173.0,-438.0
Income tax expense(figures in $M),AA,664.0,664.0,629.0,187.0,415.0
Income from continuing operations(figures in $M),AA,38.0,59.0,570.0,-14.0,-853.0
Net income(figures in $M),AA,-123.0,-102.0,429.0,-170.0,-1125.0
Net income available to common shareholders(figures in $M),AA,-123.0,-102.0,429.0,-170.0,-1125.0
Basic EPS(figures in $M),AA,,-6.800000000000001e-07,2.3e-06,-9.100000000000001e-07,-6.07e-06
Diluted EPS(figures in $M),AA,,-6.800000000000001e-07,2.26e-06,-9.100000000000001e-07,-6.07e-06
Basic average shares(figures in $M),AA,,181.0,186.0,185.876,185.489
Diluted average shares(figures in $M),AA,,181.0,190.0,185.876,185.489
EBITDA(figures in $M),AA,,1446.0,2058.0,972.0,396.0
