,2022,2021,2020,2019,2018,ticker
Current ratio,1.748,1.559,1.637,1.377,1.416,AA
Quick ratio,0.756,0.837,0.783,0.600,0.725,AA
Cash ratio,0.454,0.563,0.582,0.343,0.381,AA
Days of sales outstanding,26.647,26.552,21.854,23.090,27.314,AA
Days of inventory outstanding,86.746,78.001,64.032,70.289,59.524,AA
Operating cycle,113.394,104.553,85.886,93.380,86.838,AA
Days of payables outstanding,62.799,66.755,64.261,63.449,60.212,AA
Cash conversion cycle,50.595,37.798,21.625,29.931,26.626,AA
Gross profit margin,0.180,0.247,0.142,0.182,0.248,AA
Operating profit margin,0.122,0.208,0.046,0.068,0.164,AA
Pretax profit margin,0.058,0.099,0.019,-0.042,0.119,AA
Net profit margin,0.005,0.035,-0.002,-0.082,0.017,AA
Effective tax rate,0.918,0.525,1.081,-0.947,0.455,AA
Return on assets,0.004,0.029,-0.001,-0.058,0.014,AA
Return on equity,0.012,0.092,-0.004,-0.209,0.042,AA
Return on capital employed,0.129,0.214,0.035,0.059,0.169,AA
Net income per EBT,0.082,0.358,-0.081,1.947,0.142,AA
Ebt per ebit,0.474,0.475,0.409,-0.613,0.727,AA
Ebit per revenue,0.122,0.208,0.046,0.068,0.164,AA
Debt ratio,0.555,0.583,0.664,0.600,0.536,AA
Debt equity ratio,0.357,0.372,0.750,0.441,0.334,AA
Long term debt to capitalization,0.263,0.271,0.428,0.306,0.250,AA
Total debt to capitalization,0.263,0.271,0.429,0.306,0.251,AA
Interest coverage,14.387,12.933,2.897,5.901,18,AA
Cash flow to debt ratio,0.455,0.533,0.160,0.381,0.249,AA
Company equity multiplier,2.923,3.235,4.522,3.586,2.958,AA
Receivables turnover,13.697,13.747,16.701,15.808,13.363,AA
Payables turnover,5.812,5.468,5.680,5.753,6.062,AA
Inventory turnover,4.208,4.679,5.700,5.193,6.132,AA
Fixed asset turnover,1.918,1.835,1.292,1.318,1.610,AA
Asset turnover,0.842,0.810,0.625,0.713,0.841,AA
Operating cash flow per share,4.541,4.946,2.120,3.698,2.406,AA
Free cash flow per share,1.890,2.849,0.221,1.655,0.263,AA
Cash per share,7.530,9.753,8.646,4.739,5.976,AA
Payout ratio,1.220,0.044,0,0,0,AA
Operating cash flow sales ratio,0.066,0.076,0.042,0.066,0.033,AA
Free cash flow operating cash flow ratio,0.416,0.576,0.104,0.448,0.109,AA
Cash flow coverage ratios,0.455,0.533,0.160,0.381,0.249,AA
Short term coverage ratios,822,920,197,686,448,AA
Capital expenditure coverage ratio,-1.712,-2.359,-1.116,-1.810,-1.123,AA
Dividend paid and capex coverage ratio,-2.015,-2.480,-1.116,-1.810,-1.123,AA
Dividend payout ratio,1.220,0.044,0,0,0,AA
Price book value ratio,1.627,2.389,1.303,0.977,0.919,AA
Price to book ratio,1.627,2.389,1.303,0.977,0.919,AA
Price to sales ratio,0.661,0.912,0.461,0.382,0.369,AA
Price earnings ratio,139.493,25.832,-306.031,-4.677,21.806,AA
Price to free cash flows ratio,24.065,20.909,104.499,12.996,101.021,AA
Price to operating cash flows ratio,10.012,12.046,10.874,5.816,11.049,AA
Price cash flow ratio,10.012,12.046,10.874,5.816,11.049,AA
Price earnings to growth ratio,-1.629,0.008,-3.111,0.010,6.433,AA
Price sales ratio,0.661,0.912,0.461,0.382,0.369,AA
Dividend yield,0.009,0.002,0,0,0,AA
Enterprise value multiple,4.050,3.451,4.779,3.441,3.119,AA
Price fair value,1.627,2.389,1.303,0.977,0.919,AA
