,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),AAPL,23646.0,34940.0,38016.0,48844.0
Other short-term investments(figures in $M),AAPL,24658.0,27699.0,52927.0,51713.0
Total cash(figures in $M),AAPL,48304.0,62639.0,90943.0,100557.0
Net receivables(figures in $M),AAPL,28184.0,26278.0,16120.0,22926.0
Inventory(figures in $M),AAPL,4946.0,6580.0,4061.0,4106.0
Other current assets(figures in $M),AAPL,21223.0,14111.0,11264.0,12352.0
Total current assets(figures in $M),AAPL,135405.0,134836.0,143713.0,162819.0
"Gross property, plant and equipment(figures in $M)",AAPL,114457.0,109723.0,103526.0,95957.0
Accumulated depreciation(figures in $M),AAPL,-72340.0,-70283.0,-66760.0,-58579.0
"Net property, plant and equipment(figures in $M)",AAPL,42117.0,39440.0,36766.0,37378.0
Equity and other investments(figures in $M),AAPL,120805.0,127877.0,100887.0,105341.0
Other long-term assets(figures in $M),AAPL,54428.0,48849.0,42522.0,32978.0
Total non-current assets(figures in $M),AAPL,217350.0,216166.0,180175.0,175697.0
Total assets(figures in $M),AAPL,352755.0,351002.0,323888.0,338516.0
Current debt(figures in $M),AAPL,21110.0,15613.0,13769.0,16240.0
Accounts payable(figures in $M),AAPL,64115.0,54763.0,42296.0,46236.0
Deferred revenues(figures in $M),AAPL,7912.0,7612.0,6643.0,5522.0
Other current liabilities(figures in $M),AAPL,60845.0,47493.0,42684.0,37720.0
Total current liabilities(figures in $M),AAPL,153982.0,125481.0,105392.0,105718.0
Long-term debt(figures in $M),AAPL,98959.0,109106.0,98667.0,91807.0
Other long-term liabilities(figures in $M),AAPL,49142.0,53325.0,54490.0,50503.0
Total non-current liabilities(figures in $M),AAPL,148101.0,162431.0,153157.0,142310.0
Total liabilities(figures in $M),AAPL,302083.0,287912.0,258549.0,248028.0
Common stock(figures in $M),AAPL,64849.0,57365.0,50779.0,45174.0
Retained earnings(figures in $M),AAPL,-3068.0,5562.0,14966.0,45898.0
Accumulated other comprehensive income(figures in $M),AAPL,-11109.0,163.0,-406.0,-584.0
Total stockholders' equity(figures in $M),AAPL,50672.0,63090.0,65339.0,90488.0
Total liabilities and stockholders' equity(figures in $M),AAPL,352755.0,351002.0,323888.0,338516.0
