,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),AAPL,387537.0,394328.0,365817.0,274515.0,260174.0
Cost of revenue(figures in $M),AAPL,220666.0,223546.0,212981.0,169559.0,161782.0
Gross profit(figures in $M),AAPL,166871.0,170782.0,152836.0,104956.0,98392.0
Research development(figures in $M),AAPL,27654.0,26251.0,21914.0,18752.0,16217.0
Selling general and administrative(figures in $M),AAPL,25252.0,25094.0,21973.0,19916.0,18245.0
Total operating expenses(figures in $M),AAPL,52906.0,51345.0,43887.0,38668.0,34462.0
Operating income or loss(figures in $M),AAPL,113965.0,119437.0,108949.0,66288.0,63930.0
Interest expense(figures in $M),AAPL,3240.0,2931.0,2645.0,2873.0,3576.0
Total other income/expenses net(figures in $M),AAPL,-283.0,-334.0,258.0,803.0,1807.0
Income before tax(figures in $M),AAPL,113485.0,119103.0,109207.0,67091.0,65737.0
Income tax expense(figures in $M),AAPL,18314.0,19300.0,14527.0,9680.0,10481.0
Income from continuing operations(figures in $M),AAPL,95171.0,99803.0,94680.0,57411.0,55256.0
Net income(figures in $M),AAPL,95171.0,99803.0,94680.0,57411.0,55256.0
Net income available to common shareholders(figures in $M),AAPL,95171.0,99803.0,94680.0,57411.0,55256.0
Basic EPS(figures in $M),AAPL,,6.15e-06,5.67e-06,3.31e-06,2.99e-06
Diluted EPS(figures in $M),AAPL,,6.11e-06,5.6100000000000005e-06,3.28e-06,2.9700000000000004e-06
Basic average shares(figures in $M),AAPL,,16215.963,16701.272,17352.119,18471.336
Diluted average shares(figures in $M),AAPL,,16325.819,16864.919,17528.214,18595.652
EBITDA(figures in $M),AAPL,,130541.0,120233.0,77344.0,76477.0
