,ticker,sentiment
2023-04-06 04:04:00,ABC,0.8689
2023-04-12 01:36:07,ABC,0.6369
2023-04-13 03:29:00,ABC,0.4019
2023-04-16 18:25:00,ABC,0.296
2023-04-20 01:43:00,ABC,0.4019
2023-04-20 04:22:32,ABC,0.7184
2023-04-20 21:31:00,ABC,0.2023
2023-04-21 08:28:03,ABC,0.7096
2023-04-21 09:33:00,ABC,-0.2584
2023-04-24 05:54:00,ABC,0.3818
2023-04-24 12:26:19,ABC,0.6597
2023-04-24 12:46:00,ABC,0.2023
2023-04-25 03:40:00,ABC,0.5574
2023-04-25 09:33:00,ABC,0.5106
2023-05-01 09:33:00,ABC,0.3089
2023-05-01 22:38:00,ABC,0.2023
2023-05-01 23:52:00,ABC,0.2023
2023-05-01 23:56:00,ABC,0.3182
2023-05-02 02:16:00,ABC,0.5106
2023-05-02 05:13:37,ABC,0.34
2023-05-02 09:33:00,ABC,0.5106
2023-05-02 21:44:00,ABC,-0.5994
2023-05-02 23:21:00,ABC,-0.6249
2023-05-03 00:31:00,ABC,0.2023
2023-05-03 02:17:00,ABC,-0.5994
2023-05-03 18:32:48,ABC,-0.3612
2023-05-03 20:34:00,ABC,0.3089
2023-05-04 09:45:04,ABC,0.7783
2023-05-05 06:40:01,ABC,0.34
