,ticker,2022-08-31,2021-08-31,2020-08-31,2019-08-31
Cash and cash equivalents(figures in $M),ACN,7889.833,8168.174,8415.33,6126.853
Other short-term investments(figures in $M),ACN,3.973,4.294,94.309,3.313
Total cash(figures in $M),ACN,7893.806,8172.468,8509.639,6130.166
Net receivables(figures in $M),ACN,11776.775,9728.212,7846.892,8095.071
Other current assets(figures in $M),ACN,1940.29,1765.831,1393.225,1225.364
Total current assets(figures in $M),ACN,21610.871,19666.511,17749.756,15450.601
"Gross property, plant and equipment(figures in $M)",ACN,4677.675,4821.624,4728.914,1391.166
Accumulated depreciation(figures in $M),ACN,-2490.187,-2412.449,-2313.731,-1956.029
"Net property, plant and equipment(figures in $M)",ACN,4677.675,4821.624,4728.914,1391.166
Equity and other investments(figures in $M),ACN,317.972,329.526,324.514,240.313
Goodwill(figures in $M),ACN,13133.293,11125.861,7709.82,6205.55
Intangible assets(figures in $M),ACN,0.0,1710.938,1029.218,840.779
Other long-term assets(figures in $M),ACN,7476.735,7193.987,6522.332,6431.248
Total non-current assets(figures in $M),ACN,25652.519,23509.332,19328.837,14339.279
Total assets(figures in $M),ACN,47263.39,43175.843,37078.593,29789.88
Current debt(figures in $M),ACN,9.175,12.08,7.82,6.411
Accounts payable(figures in $M),ACN,2559.485,2274.057,1349.874,1646.641
Taxes payable(figures in $M),ACN,646.471,423.4,453.542,378.017
Accrued liabilities(figures in $M),ACN,9769.19,8449.389,6912.098,6220.009
Deferred revenues(figures in $M),ACN,4478.048,4229.177,3636.741,3188.835
Total current liabilities(figures in $M),ACN,17523.496,15708.867,12662.59,11061.896
Long-term debt(figures in $M),ACN,45.893,53.473,54.052,16.247
Deferred tax liabilities(figures in $M),ACN,318.584,243.636,179.703,133.232
Deferred revenues(figures in $M),ACN,712.715,700.08,690.931,565.224
Other long-term liabilities(figures in $M),ACN,4383.823,4619.472,4195.194,3884.046
Total non-current liabilities(figures in $M),ACN,6992.806,7369.862,6916.83,3900.293
Total liabilities(figures in $M),ACN,24516.302,23078.729,19579.42,14962.189
Common stock(figures in $M),ACN,0.072,0.072,0.072,0.072
Retained earnings(figures in $M),ACN,18203.842,13988.748,12375.533,10421.538
Accumulated other comprehensive income(figures in $M),ACN,-2190.342,-1419.497,-1561.837,-1840.577
Total stockholders' equity(figures in $M),ACN,22106.54,19528.272,17001.902,14408.739
Total liabilities and stockholders' equity(figures in $M),ACN,47263.39,43175.843,37078.593,29789.88
