,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),ADP,16674.2,16046.5,14583.0,14044.6,13613.3
Cost of revenue(figures in $M),ADP,9742.4,9461.9,8640.3,8445.1,8086.6
Gross profit(figures in $M),ADP,6931.8,6584.6,5942.7,5599.5,5526.7
Selling general and administrative(figures in $M),ADP,3387.8,3233.2,3040.5,3003.0,3064.2
Total operating expenses(figures in $M),ADP,3387.8,3233.2,3040.5,3003.0,3064.2
Operating income or loss(figures in $M),ADP,3544.0,3351.4,2902.2,2596.5,2462.5
Interest expense(figures in $M),ADP,153.1,81.9,59.7,107.1,129.9
Total other income/expenses net(figures in $M),ADP,16.0,41.8,59.8,63.5,13.5
Income before tax(figures in $M),ADP,4061.3,3804.1,3361.2,3182.6,3005.6
Income tax expense(figures in $M),ADP,915.1,855.2,762.7,716.1,712.8
Income from continuing operations(figures in $M),ADP,3146.2,2948.9,2598.5,2466.5,2292.8
Net income(figures in $M),ADP,3146.2,2948.9,2598.5,2466.5,2292.8
Net income available to common shareholders(figures in $M),ADP,3146.2,2948.9,2598.5,2466.5,2292.8
Basic EPS(figures in $M),ADP,,7.04e-06,6.1e-06,5.73e-06,5.2699999999999995e-06
Diluted EPS(figures in $M),ADP,,7e-06,6.07e-06,5.7000000000000005e-06,5.24e-06
Basic average shares(figures in $M),ADP,,418.8,426.3,430.8,435.0
Diluted average shares(figures in $M),ADP,,421.1,428.1,432.7,437.6
EBITDA(figures in $M),ADP,,4401.1,3931.6,3769.7,3544.5
