,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),ADSK,5005.0,5005.0,4386.4,3790.4,3274.3
Cost of revenue(figures in $M),ADSK,480.0,480.0,418.5,337.1,324.9
Gross profit(figures in $M),ADSK,4525.0,4525.0,3967.9,3453.3,2949.4
Research development(figures in $M),ADSK,1219.0,1219.0,1114.8,932.5,851.1
Selling general and administrative(figures in $M),ADSK,2277.0,2277.0,2194.8,1854.2,1715.9
Total operating expenses(figures in $M),ADSK,3536.0,3536.0,3350.3,2824.2,2605.9
Operating income or loss(figures in $M),ADSK,989.0,989.0,617.6,629.1,343.5
Interest expense(figures in $M),ADSK,71.0,43.0,65.0,82.4,54.0
Total other income/expenses net(figures in $M),ADSK,28.0,28.0,12.1,-31.3,-0.5
Income before tax(figures in $M),ADSK,946.0,946.0,564.7,546.7,294.8
Income tax expense(figures in $M),ADSK,123.0,123.0,67.7,-661.5,80.3
Income from continuing operations(figures in $M),ADSK,823.0,823.0,497.0,1208.2,214.5
Net income(figures in $M),ADSK,823.0,823.0,497.0,1208.2,214.5
Net income available to common shareholders(figures in $M),ADSK,823.0,823.0,497.0,1208.2,214.5
Basic EPS(figures in $M),ADSK,,3.81e-06,2.26e-06,5.52e-06,9.8e-07
Diluted EPS(figures in $M),ADSK,,3.78e-06,2.24e-06,5.4400000000000004e-06,9.6e-07
Basic average shares(figures in $M),ADSK,,216.0,220.0,219.0,219.7
Diluted average shares(figures in $M),ADSK,,218.0,222.0,222.0,222.5
EBITDA(figures in $M),ADSK,,1139.0,765.7,752.9,470.8
