,2022,2021,2020,2019,2018,ticker
Current ratio,0.793,0.696,0.758,0.571,0.571,AEE
Quick ratio,0.401,0.293,0.407,0.299,0.317,AEE
Cash ratio,0.003,0.003,0.064,0.006,0.006,AEE
Days of sales outstanding,50.459,46.810,47.184,45.332,48.562,AEE
Days of inventory outstanding,52.764,63.497,64.770,56.934,50.428,AEE
Operating cycle,103.223,110.306,111.954,102.266,98.990,AEE
Days of payables outstanding,91.685,117.448,119.097,100.729,85.299,AEE
Cash conversion cycle,11.538,-7.141,-7.143,1.536,13.691,AEE
Gross profit margin,0.420,0.468,0.493,0.464,0.444,AEE
Operating profit margin,0.190,0.208,0.224,0.214,0.216,AEE
Pretax profit margin,0.158,0.180,0.178,0.172,0.168,AEE
Net profit margin,0.135,0.155,0.150,0.140,0.130,AEE
Effective tax rate,0.140,0.136,0.150,0.179,0.224,AEE
Return on assets,0.028,0.028,0.027,0.029,0.030,AEE
Return on equity,0.102,0.102,0.097,0.103,0.107,AEE
Return on capital employed,0.044,0.041,0.044,0.048,0.055,AEE
Net income per EBT,0.856,0.859,0.844,0.815,0.770,AEE
Ebt per ebit,0.828,0.864,0.794,0.802,0.780,AEE
Ebit per revenue,0.190,0.208,0.224,0.214,0.216,AEE
Debt ratio,0.719,0.725,0.717,0.717,0.714,AEE
Debt equity ratio,1.437,1.403,1.295,1.216,1.184,AEE
Long term debt to capitalization,0.566,0.564,0.553,0.525,0.507,AEE
Total debt to capitalization,0.590,0.584,0.564,0.549,0.542,AEE
Interest coverage,3.117,3.480,3.103,3.325,3.384,AEE
Cash flow to debt ratio,0.150,0.122,0.149,0.221,0.240,AEE
Company equity multiplier,3.607,3.684,3.584,3.590,3.566,AEE
Receivables turnover,7.234,7.798,7.736,8.052,7.516,AEE
Payables turnover,3.981,3.108,3.065,3.624,4.279,AEE
Inventory turnover,6.918,5.748,5.635,6.411,7.238,AEE
Fixed asset turnover,0.255,0.219,0.216,0.242,0.276,AEE
Asset turnover,0.210,0.179,0.181,0.204,0.231,AEE
Operating cash flow per share,8.758,6.481,6.992,8.836,8.901,AEE
Free cash flow per share,-4.323,-7.265,-6.364,-1.107,-0.689,AEE
Cash per share,0.967,0.031,0.563,0.065,0.066,AEE
Payout ratio,0.568,0.571,0.567,0.570,0.553,AEE
Operating cash flow sales ratio,0.284,0.260,0.298,0.367,0.345,AEE
Free cash flow operating cash flow ratio,-0.494,-1.121,-0.910,-0.125,-0.077,AEE
Cash flow coverage ratios,0.150,0.122,0.149,0.221,0.240,AEE
Short term coverage ratios,1.605,1.582,3.468,2.460,1.844,AEE
Capital expenditure coverage ratio,-0.670,-0.471,-0.523,-0.889,-0.928,AEE
Dividend paid and capex coverage ratio,-0.817,-0.562,-0.616,-1.102,-1.150,AEE
Dividend payout ratio,0.568,0.571,0.567,0.570,0.553,AEE
Price book value ratio,2.187,2.352,2.157,2.340,2.084,AEE
Price to book ratio,2.187,2.352,2.157,2.340,2.084,AEE
Price to sales ratio,2.888,3.568,3.328,3.192,2.528,AEE
Price earnings ratio,21.394,23.044,22.136,22.780,19.513,AEE
Price to free cash flows ratio,-20.570,-12.252,-12.265,-69.346,-94.661,AEE
Price to operating cash flows ratio,10.153,13.735,11.164,8.692,7.329,AEE
Price cash flow ratio,10.153,13.735,11.164,8.692,7.329,AEE
Price earnings to growth ratio,2.753,2.465,4.662,25.362,0.357,AEE
Price sales ratio,2.888,3.568,3.328,3.192,2.528,AEE
Dividend yield,0.027,0.025,0.026,0.025,0.028,AEE
Enterprise value multiple,11.973,12.951,11.796,11.559,10.025,AEE
Price fair value,2.187,2.352,2.157,2.340,2.084,AEE
