,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),AEP,509.4,403.4,392.7,246.8
Other short-term investments(figures in $M),AEP,187.5,220.4,200.8,202.7
Total cash(figures in $M),AEP,696.9,623.8,593.5,449.5
Net receivables(figures in $M),AEP,1081.5,720.9,613.6,625.3
Inventory(figures in $M),AEP,1302.1,989.2,1310.0,1169.2
Other current assets(figures in $M),AEP,1457.1,647.8,90.7,92.9
Total current assets(figures in $M),AEP,9418.7,7809.2,4351.5,4077.8
"Gross property, plant and equipment(figures in $M)",AEP,94439.0,87384.7,85179.4,80103.1
Accumulated depreciation(figures in $M),AEP,-22511.1,-20805.1,-20411.4,-19007.6
"Net property, plant and equipment(figures in $M)",AEP,71927.9,66579.6,64768.0,61095.5
Equity and other investments(figures in $M),AEP,3787.2,4419.8,3963.7,3833.8
Goodwill(figures in $M),AEP,52.5,52.5,52.5,52.5
Other long-term assets(figures in $M),AEP,3717.8,0.0,0.0,0.0
Total non-current assets(figures in $M),AEP,84050.7,79859.5,76405.7,71814.5
Total assets(figures in $M),AEP,93469.4,87668.7,80757.2,75892.3
Current debt(figures in $M),AEP,6108.6,4767.8,4565.4,4437.0
Accounts payable(figures in $M),AEP,2613.0,2054.6,1709.7,2085.8
Accrued liabilities(figures in $M),AEP,327.6,273.2,267.6,243.6
Deferred revenues(figures in $M),AEP,370.0,321.6,335.6,366.1
Other current liabilities(figures in $M),AEP,3362.0,3325.5,1330.7,1574.7
Total current liabilities(figures in $M),AEP,14567.4,12426.7,9926.7,10299.1
Long-term debt(figures in $M),AEP,33626.2,31300.7,28986.4,25126.8
Deferred tax liabilities(figures in $M),AEP,8493.3,8202.5,8240.9,7588.2
Other long-term liabilities(figures in $M),AEP,599.1,0.0,0.0,0.0
Total non-current liabilities(figures in $M),AEP,54779.6,52561.8,50056.0,45680.0
Total liabilities(figures in $M),AEP,69347.0,64988.5,59982.7,55979.1
Common stock(figures in $M),AEP,3413.1,3408.7,3359.3,3343.4
Retained earnings(figures in $M),AEP,12345.6,11667.1,10687.8,9900.9
Accumulated other comprehensive income(figures in $M),AEP,83.7,184.8,-85.1,-147.7
Total stockholders' equity(figures in $M),AEP,23893.4,22433.2,20550.9,19632.2
Total liabilities and stockholders' equity(figures in $M),AEP,93469.4,87668.7,80757.2,75892.3
