,ticker,2023,2024,2025
Revenue(In $M),AIG,"48,908","48,155","44,826"
Dividend,AIG,1.42,1.56,1.78
Dividend Yield (in %),AIG,2.75 %,2.99 %,3.93 %
EPS,AIG,6.22,7.34,8.03
P/E Ratio,AIG,8.27,7.01,6.40
EBIT(In $M),AIG,"6,101","6,901","7,186"
EBITDA(In $M),AIG,"11,332","13,040","9,080"
Net Profit(In $M),AIG,"4,564","5,002","5,022"
Net Profit Adjusted(In $M),AIG,"4,577","5,088","4,871"
Pre-Tax Profit(In $M),AIG,"6,561","7,283","6,787"
Net Profit (Adjusted)(In $M),AIG,"6,388","7,520",-
EPS (Non-GAAP) ex. SOE(In $),AIG,6.22,7.34,8.03
EPS (GAAP)(In $),AIG,6.17,7.47,8.88
Gross Income(In $M),AIG,-,-,-
Cash Flow from Investing(In $M),AIG,-,-,-
Cash Flow from Operations(In $M),AIG,"11,332","13,040","9,080"
Cash Flow from Financing(In $M),AIG,-,-,-
Cash Flow per Share(In $),AIG,15.73,20.71,16.70
Free Cash Flow(In $M),AIG,-,-,-
Free Cash Flow per Share(In $),AIG,-,-,-
Book Value per Share(In $),AIG,61.37,67.50,79.09
Net Debt(In $M),AIG,"24,093","24,093",-
Research & Development Exp.(In $M),AIG,-,-,-
Capital Expenditure(In $M),AIG,-,-,-
"Selling, General & Admin. Exp.(In $M)",AIG,-,-,-
Shareholder’s Equity(In $M),AIG,"44,752","39,606","39,784"
Total Assets(In $M),AIG,"527,316","529,034","531,426"
