,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AIG,56539.0,56539.0,51885.0,43839.0,49792.0
Interest expense(figures in $M),AIG,1125.0,1125.0,1305.0,1457.0,1417.0
Total other income/expenses net(figures in $M),AIG,,,,903.0,919.0
Income before tax(figures in $M),AIG,14282.0,14282.0,12099.0,-7293.0,5287.0
Income tax expense(figures in $M),AIG,3006.0,3006.0,2176.0,-1460.0,1166.0
Income from continuing operations(figures in $M),AIG,11276.0,11276.0,9923.0,-5833.0,4121.0
Net income(figures in $M),AIG,10276.0,10276.0,9388.0,-5944.0,3348.0
Net income available to common shareholders(figures in $M),AIG,10247.0,10247.0,9359.0,-5973.0,3326.0
Basic EPS(figures in $M),AIG,,1.316e-05,1.0949999999999998e-05,-6.88e-06,3.79e-06
Diluted EPS(figures in $M),AIG,,1.3009999999999999e-05,1.082e-05,-6.88e-06,3.74e-06
Basic average shares(figures in $M),AIG,,778.621,854.32,869.309,876.75
Diluted average shares(figures in $M),AIG,,787.942,864.885,869.309,889.512
