,headline,final_score,datetime
0,AIG postpones Corebridge stock sale as banking fears fuel volatility,60,2023-05-05 08:25:57
1,American International Group (AIG) Q1 Earnings and Revenues Surpass Estimates,86,2023-05-04 16:05:11
3,AIG Buoyed by Higher Premiums on Business Insurance,60,2023-05-04 14:35:00
4,Insurer AIG exceeds profit estimates on strong underwriting gains,60,2023-05-04 13:20:59
5,AIG Reports First Quarter 2023 Results,60,2023-05-04 13:16:00
6,American International Group: Q1 Earnings Snapshot,86,2023-05-04 10:52:00
7,TOP NEWS: American International quarterly income plunges,86,2023-05-04 10:06:00
8,"American International Group Inc. stock falls Thursday, underperforms market",87,2023-05-04 09:35:00
9,June 23rd Options Now Available For American International Group (AIG),86,2023-05-04 03:04:00
10,Wells Fargo Sticks to Its Hold Rating for American International Group (AIG),86,2023-05-03 23:35:00
11,AIG raises dividend by 12.5% to $0.36,60,2023-05-03 20:32:00
12,American International Group Non-GAAP EPS of $1.63 beats by $0.21,86,2023-05-03 20:32:00
13,"AIG Q1 earnings climb, topping consensus, helped by strong underwriting",60,2023-05-03 20:32:00
14,"AIG reports Q1 EPS $1.63, consensus $1.42",60,2023-05-03 20:19:00
18,American Financial makes $240 million acquisition of Crop Risk Insurance,86,2023-05-03 11:30:15
19,"American International Group Inc. stock falls Wednesday, underperforms market",87,2023-05-03 09:35:00
21,AIG Recognized as One of DiversityInc’s Top 50 Companies for Diversity for Sixth Consecutive Year,60,2023-05-03 05:30:00
22,American Financial Group and American International Group Reach Agreement for AFG’s Purchase of Crop Risk Services from AIG,86,2023-05-02 13:30:00
23,"American International Group Inc. stock falls Tuesday, underperforms market",87,2023-05-02 09:35:00
24,American Financial to acquire Crop Risk Services from AIG for $240M,86,2023-05-01 20:58:00
25,American Financial to purchase Crop Risk Services from AIG,86,2023-05-01 20:34:00
26,American International (AIG) to Post Q1 Earnings: What to Expect,86,2023-05-01 12:13:07
27,"American International Group Inc. stock rises Monday, outperforms market",87,2023-05-01 09:35:00
28,Is Now The Time To Put American International Group (NYSE:AIG) On Your Watchlist?,86,2023-05-01 06:00:35
29,"Zacks Industry Outlook Highlights MetLife, American International, Prudential Financial, CNO Financial and Kemper",86,2023-05-01 03:55:10
31,"American International Group Inc. stock rises Friday, outperforms market",87,2023-04-28 09:35:00
32,American International Group (AIG) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,86,2023-04-27 07:02:02
34,"As American International Group, Inc.'s (NYSE:AIG)) market cap dropped by US$1.7b, insiders who sold US$918k worth of stock were able to offset their losses",90,2023-04-27 05:00:22
35,AIG June 9th Options Begin Trading,60,2023-04-27 03:00:00
36,"AIG Finalizes Agreement With Stone Point Capital to Form Private Client Select Insurance Services, an Independent MGA",60,2023-04-26 13:50:00
37,American International Group Inc. stock outperforms market despite losses on the day,87,2023-04-26 09:35:00
38,AIG investors urged to oppose chief’s $50mn pay award,60,2023-04-26 05:31:48
41,Unusual Put Option Trade in American International Group (AIG)  Worth $439.34K,86,2023-04-21 15:37:05
42,Unusual Put Option Trade in American International Group (AIG)  Worth $554.11K,86,2023-04-21 15:36:59
43,"American International Group Inc. stock falls Friday, underperforms market",87,2023-04-21 09:35:00
44,Credit Suisse Reiterates American International Group (AIG) Neutral Recommendation,86,2023-04-21 08:40:08
45,American International Group (AIG) Receives a Hold from Credit Suisse,86,2023-04-21 04:26:00
47,"Statement From AIG Chairman & CEO on the Passing of Former Board Member, Thomas F. Motamed",60,2023-04-20 13:16:00
48,Lukoil buys into former AIG insurer in Russia,60,2023-04-20 02:04:06
49,AIG issues statement on passing of board member Thomas Motamed,60,2023-04-19 20:17:00
51,"American International Group Inc. stock rises Wednesday, outperforms market",87,2023-04-19 09:35:00
53,Citigroup Maintains American International Group (AIG) Buy Recommendation,86,2023-04-18 16:33:52
54,"Keefe, Bruyette & Woods Maintains American International Group (AIG) Outperform Recommendation",86,2023-04-18 16:20:06
55,"American International Group Inc. stock rises Tuesday, outperforms market",87,2023-04-18 09:35:00
56,AIG price target lowered to $70 from $71 at Citi,60,2023-04-17 22:24:00
57,American International Group (AIG) Gets a Buy from KBW,86,2023-04-17 20:26:00
59,"Could The Market Be Wrong About American International Group, Inc. (NYSE:AIG) Given Its Attractive Financial Prospects?",90,2023-04-15 04:00:51
62,Evercore ISI Group Maintains American International Group (AIG) In-Line Recommendation,86,2023-04-13 14:26:01
63,"American International Group Inc. stock rises Thursday, still underperforms market",87,2023-04-13 09:35:00
64,AIG June 2nd Options Begin Trading,60,2023-04-13 03:43:00
65,"AIG Appoints Chris Colahan as Regional President, AIG Asia Pacific",60,2023-04-13 00:30:00
66,AIG price target lowered to $63 from $70 at Evercore ISI,60,2023-04-13 00:18:00
71,Barclays Maintains American International Group (AIG) Equal-Weight Recommendation,86,2023-04-12 14:13:07
72,Banking Crisis Impacted American International Group (AIG) in Q1,86,2023-04-12 05:27:42
73,AIG price target lowered to $55 from $66 at Barclays,60,2023-04-11 21:50:00
74,Herro and Nygren Comment on AIG,60,2023-04-11 20:16:00
76,David Herro Comments on AIG,60,2023-04-11 19:35:00
78,Jefferies Maintains American International Group (AIG) Buy Recommendation,86,2023-04-10 18:40:08
79,"American International Group Inc. stock rises Monday, still underperforms market",87,2023-04-10 09:35:00
80,AIG price target lowered to $67 from $75 at Jefferies,60,2023-04-10 01:09:00
82,"American International Group Inc. stock rises Thursday, outperforms market",87,2023-04-06 09:35:00
83,Wells Fargo Maintains American International Group (AIG) Equal-Weight Recommendation,86,2023-04-05 14:05:06
84,"AIG to Report First Quarter 2023 Financial Results on May 4, 2023 and Host Conference Call on May 5",60,2023-04-05 13:16:00
86,Reasons to Hold American International (AIG) Stock for Now,86,2023-04-03 08:33:03
89,BMO Capital Reaffirms Their Hold Rating on American International Group (AIG),86,2023-04-02 23:25:00
90,"With EPS Growth And More, American International Group (NYSE:AIG) Makes An Interesting Case",86,2023-04-01 04:00:46
91,"American International Group Inc. stock rises Friday, still underperforms market",87,2023-03-31 09:35:00
93,American International Group`s Series A Preferred Stock Yield Pushes Past 6%,86,2023-03-30 18:14:00
94,Those who invested in American International Group (NYSE:AIG) three years ago are up 101%,86,2023-03-28 04:00:46
97,"American International Group, Inc. (NYSE:AIG) insiders who sold US$918k worth of stock earlier this year are probably glad they did so as market cap slides to US$35b",90,2023-03-24 04:00:43
98,Should You Hold American International Group (AIG) For Long-Term Returns?,86,2023-03-24 02:27:57
104,Recent Panic Selling Creates Opportunity In AIG,60,2023-03-17 22:16:00
105,American International Group (AIG) Down 19.3% Since Last Earnings Report: Can It Rebound?,86,2023-03-17 08:30:03
106,"American International Group, Inc.'s (NYSE:AIG) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?",90,2023-03-16 04:00:30
107,American International��Group goes ex-dividend tomorrow,86,2023-03-15 05:27:00
108,"American International Group Inc. stock falls Monday, underperforms market",87,2023-03-13 09:35:00
