,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),AIV,206.46,233.374,289.582,5.403
Total cash(figures in $M),AIV,206.46,233.374,289.582,5.403
Net receivables(figures in $M),AIV,4.079,2.469,2.66,2.313
Total current assets(figures in $M),AIV,268.78,244.582,353.266,15.424
"Gross property, plant and equipment(figures in $M)",AIV,110.269,429.768,111.14,0.0
"Net property, plant and equipment(figures in $M)",AIV,110.269,429.768,111.14,0.0
Equity and other investments(figures in $M),AIV,174.347,337.797,332.691,292.999
Intangible assets(figures in $M),AIV,14.16,3.269,7.264,13.38
Other long-term assets(figures in $M),AIV,132.679,191.57,12.86,0.0
Total non-current assets(figures in $M),AIV,1912.443,2189.519,1487.226,1244.701
Total assets(figures in $M),AIV,2181.223,2434.101,1840.492,1260.125
Accrued liabilities(figures in $M),AIV,106.6,97.4,58.391,34.685
Total current liabilities(figures in $M),AIV,106.6,97.4,62.988,34.685
Long-term debt(figures in $M),AIV,1048.199,1180.834,982.094,558.933
Deferred tax liabilities(figures in $M),AIV,119.615,124.747,131.56,148.227
Total non-current liabilities(figures in $M),AIV,1282.439,1740.674,1214.15,707.16
Total liabilities(figures in $M),AIV,1389.039,1838.074,1277.138,741.845
Common stock(figures in $M),AIV,1.466,1.498,1.49,0.0
Retained earnings(figures in $M),AIV,49.904,-22.775,-16.839,0.0
Total stockholders' equity(figures in $M),AIV,547.852,500.565,499.778,513.264
Total liabilities and stockholders' equity(figures in $M),AIV,2181.223,2434.101,1840.492,1260.125
