,ticker,sentiment
2023-04-06 11:00:06,AKAM,0.6808
2023-04-09 23:04:00,AKAM,-0.3612
2023-04-10 20:27:00,AKAM,-0.296
2023-04-10 20:57:00,AKAM,-0.3612
2023-04-11 02:09:00,AKAM,0.2023
2023-04-11 03:30:06,AKAM,0.6369
2023-04-11 04:00:00,AKAM,-0.296
2023-04-11 10:00:05,AKAM,0.2023
2023-04-12 03:30:00,AKAM,0.5709
2023-04-13 04:20:00,AKAM,0.34
2023-04-13 09:35:00,AKAM,0.5106
2023-04-18 03:32:00,AKAM,-0.1531
2023-04-18 23:15:00,AKAM,0.34
2023-04-19 09:02:38,AKAM,0.34
2023-04-20 00:12:00,AKAM,0.34
2023-04-20 20:36:00,AKAM,0.5106
2023-04-23 16:30:00,AKAM,0.4215
2023-04-23 20:38:00,AKAM,0.3089
2023-04-24 04:29:34,AKAM,0.8126
2023-04-24 08:12:54,AKAM,-0.4939
2023-04-26 00:08:00,AKAM,-0.7184
2023-04-26 03:49:00,AKAM,0.6705
2023-05-02 06:40:01,AKAM,0.7269
2023-05-04 02:30:00,AKAM,0.8294
