,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ALTR,316.146,413.743,241.221,223.117
Total cash(figures in $M),ALTR,316.146,413.743,241.221,223.117
Net receivables(figures in $M),ALTR,170.279,137.561,111.162,104.984
Other current assets(figures in $M),ALTR,29.142,27.529,21.1,17.092
Total current assets(figures in $M),ALTR,526.826,588.221,386.935,352.457
"Gross property, plant and equipment(figures in $M)",ALTR,71.118,68.972,123.127,64.431
Accumulated depreciation(figures in $M),ALTR,-57.035,-58.103,-53.269,-46.306
"Net property, plant and equipment(figures in $M)",ALTR,71.118,68.972,69.858,64.431
Goodwill(figures in $M),ALTR,449.048,370.178,264.481,233.683
Intangible assets(figures in $M),ALTR,107.609,99.057,76.114,67.075
Other long-term assets(figures in $M),ALTR,40.41,28.352,25.389,19.708
Total non-current assets(figures in $M),ALTR,677.912,575.054,442.967,390.688
Total assets(figures in $M),ALTR,1204.738,1163.275,829.902,743.145
Current debt(figures in $M),ALTR,0.0,199.705,30.384,0.43
Accounts payable(figures in $M),ALTR,10.434,6.647,8.594,8.585
Taxes payable(figures in $M),ALTR,11.524,5.887,7.25,6.008
Accrued liabilities(figures in $M),ALTR,56.371,122.226,5.165,28.603
Deferred revenues(figures in $M),ALTR,113.081,93.16,86.799,75.431
Other current liabilities(figures in $M),ALTR,20.514,95.392,7.829,8.663
Total current liabilities(figures in $M),ALTR,232.738,473.978,200.754,152.866
Long-term debt(figures in $M),ALTR,305.604,0.0,188.653,178.238
Deferred tax liabilities(figures in $M),ALTR,16.775,15.389,8.028,6.275
Deferred revenues(figures in $M),ALTR,31.379,12.872,9.388,8.136
Other long-term liabilities(figures in $M),ALTR,41.216,42.894,4.889,26.672
Total non-current liabilities(figures in $M),ALTR,402.264,75.316,249.778,233.22
Total liabilities(figures in $M),ALTR,635.002,549.294,450.532,386.086
Common stock(figures in $M),ALTR,0.008,0.792,0.791,2.359
Retained earnings(figures in $M),ALTR,-121.577,-102.087,-93.293,-82.405
Accumulated other comprehensive income(figures in $M),ALTR,-30.002,-8.95,-2.797,-9.528
Total stockholders' equity(figures in $M),ALTR,569.736,613.981,379.37,357.059
Total liabilities and stockholders' equity(figures in $M),ALTR,1204.738,1163.275,829.902,743.145
