,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ALTR,619,671,728,780,839
Dividend,ALTR,-,-,0.00,-,-
Dividend Yield (in %),ALTR,-,-,-,-,-
EPS,ALTR,0.99,1.17,1.33,-,-
P/E Ratio,ALTR,67.73,57.59,50.56,-,-
EBIT(In $M),ALTR,117,142,191,-,-
EBITDA(In $M),ALTR,131,157,200,-,-
Net Profit(In $M),ALTR,89,106,138,-,-
Net Profit Adjusted(In $M),ALTR,89,106,138,-,-
Pre-Tax Profit(In $M),ALTR,118,140,172,-,-
Net Profit (Adjusted)(In $M),ALTR,2,15,-,-,-
EPS (Non-GAAP) ex. SOE(In $),ALTR,0.99,1.17,1.33,-,-
EPS (GAAP)(In $),ALTR,0.11,0.31,0.79,-,-
Gross Income(In $M),ALTR,498,542,588,-,-
Cash Flow from Investing(In $M),ALTR,-15,-10,-10,-,-
Cash Flow from Operations(In $M),ALTR,123,146,184,-,-
Cash Flow from Financing(In $M),ALTR,0,0,0,-,-
Cash Flow per Share(In $),ALTR,1.39,1.63,-,-,-
Free Cash Flow(In $M),ALTR,111,135,176,-,-
Free Cash Flow per Share(In $),ALTR,1.21,1.47,1.79,-,-
Book Value per Share(In $),ALTR,7.28,8.23,9.19,-,-
Net Debt(In $M),ALTR,-125,-191,-225,-557,-
Research & Development Exp.(In $M),ALTR,162,171,193,-,-
Capital Expenditure(In $M),ALTR,13,12,8,-,-
"Selling, General & Admin. Exp.(In $M)",ALTR,225,235,-,-,-
Shareholder’s Equity(In $M),ALTR,638,731,866,-,-
Total Assets(In $M),ALTR,"1,291","1,416","1,542",-,-
