,ticker,ttm,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total revenue(figures in $M),AMAT,26253.0,25785.0,23063.0,17202.0,14608.0
Cost of revenue(figures in $M),AMAT,14074.0,13792.0,12149.0,9510.0,8222.0
Gross profit(figures in $M),AMAT,12179.0,11993.0,10914.0,7692.0,6386.0
Research development(figures in $M),AMAT,2888.0,2771.0,2485.0,2234.0,2054.0
Selling general and administrative(figures in $M),AMAT,1509.0,1438.0,1229.0,1093.0,982.0
Total operating expenses(figures in $M),AMAT,4397.0,4209.0,3714.0,3327.0,3036.0
Operating income or loss(figures in $M),AMAT,7782.0,7784.0,7200.0,4365.0,3350.0
Interest expense(figures in $M),AMAT,230.0,228.0,236.0,240.0,237.0
Total other income/expenses net(figures in $M),AMAT,,4.0,-311.0,,
Income before tax(figures in $M),AMAT,7635.0,7599.0,6771.0,4166.0,3269.0
Income tax expense(figures in $M),AMAT,1185.0,1074.0,883.0,547.0,563.0
Income from continuing operations(figures in $M),AMAT,6450.0,6525.0,5888.0,3619.0,2706.0
Net income(figures in $M),AMAT,6450.0,6525.0,5888.0,3619.0,2706.0
Net income available to common shareholders(figures in $M),AMAT,6450.0,6525.0,5888.0,3619.0,2706.0
Basic EPS(figures in $M),AMAT,,7.49e-06,6.47e-06,3.95e-06,2.8900000000000003e-06
Diluted EPS(figures in $M),AMAT,,7.440000000000001e-06,6.4000000000000006e-06,3.92e-06,2.8599999999999997e-06
Basic average shares(figures in $M),AMAT,,871.0,910.0,916.0,937.0
Diluted average shares(figures in $M),AMAT,,877.0,919.0,923.0,945.0
EBITDA(figures in $M),AMAT,,8271.0,7401.0,4782.0,3869.0
