,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AMD,"23,007","26,842","30,283","33,083","36,035"
Dividend,AMD,0.00,0.00,0.00,-,-
Dividend Yield (in %),AMD,-,-,-,-,-
EPS,AMD,2.88,4.06,5.06,6.08,7.10
P/E Ratio,AMD,30.31,21.51,17.25,14.37,12.30
EBIT(In $M),AMD,"5,132","7,369","8,908","5,657","7,279"
EBITDA(In $M),AMD,"6,730","8,148","10,164","9,585","11,207"
Net Profit(In $M),AMD,"4,542","6,358","7,650","6,637","8,049"
Net Profit Adjusted(In $M),AMD,"4,631","6,478","7,878","6,637","8,049"
Pre-Tax Profit(In $M),AMD,"5,108","7,222","8,637",-,-
Net Profit (Adjusted)(In $M),AMD,"2,653","5,283","7,126",-,-
EPS (Non-GAAP) ex. SOE(In $),AMD,2.10,3.37,4.33,4.29,5.27
EPS (GAAP)(In $),AMD,0.80,2.29,3.00,3.12,4.09
Gross Income(In $M),AMD,"11,649","14,343","16,171",-,-
Cash Flow from Investing(In $M),AMD,"-1,333",-535,-423,-,-
Cash Flow from Operations(In $M),AMD,"4,379","6,265","7,357","9,181","10,849"
Cash Flow from Financing(In $M),AMD,"-1,329","-2,074","-3,520",-,-
Cash Flow per Share(In $),AMD,2.53,3.95,4.73,5.66,6.66
Free Cash Flow(In $M),AMD,"4,065","5,738","6,636","7,366","8,734"
Free Cash Flow per Share(In $),AMD,1.71,3.13,4.00,-,-
Book Value per Share(In $),AMD,34.40,35.81,37.58,37.60,40.90
Net Debt(In $M),AMD,"-5,871","-8,892","-11,134","-17,922","-24,656"
Research & Development Exp.(In $M),AMD,"5,141","5,411","5,539",-,-
Capital Expenditure(In $M),AMD,515,551,608,992,"1,081"
"Selling, General & Admin. Exp.(In $M)",AMD,"1,989","2,119","1,981",-,-
Shareholder’s Equity(In $M),AMD,"55,371","57,564","59,349","57,773","62,019"
Total Assets(In $M),AMD,"68,327","71,004","73,982",-,-
