,2022,2021,2020,2019,ticker
Current ratio,2.358,2.024,2.542,1.949,AMD
Quick ratio,1.567,1.490,1.806,1.425,AMD
Cash ratio,0.759,0.598,0.660,0.621,AMD
Days of sales outstanding,63.841,60.145,77.613,100.807,AMD
Days of inventory outstanding,105.894,83.901,94.283,92.785,AMD
Operating cycle,169.736,144.045,171.896,193.593,AMD
Days of payables outstanding,70.007,56.692,31.540,93.352,AMD
Cash conversion cycle,99.729,87.354,140.356,100.241,AMD
Gross profit margin,0.449,0.482,0.445,0.426,AMD
Operating profit margin,0.054,0.222,0.099,0.031,AMD
Pretax profit margin,0.050,0.223,0.131,0.055,AMD
Net profit margin,0.056,0.192,0.255,0.051,AMD
Effective tax rate,-0.103,0.140,-0.949,0.083,AMD
Return on assets,0.020,0.255,0.278,0.057,AMD
Return on equity,0.024,0.422,0.427,0.121,AMD
Return on capital employed,0.021,0.446,0.148,0.057,AMD
Net income per EBT,1.115,0.862,1.953,0.917,AMD
Ebt per ebit,0.937,1.006,1.317,1.788,AMD
Ebit per revenue,0.054,0.222,0.099,0.031,AMD
Debt ratio,0.190,0.396,0.349,0.531,AMD
Debt equity ratio,0.058,0.088,0.098,0.258,AMD
Long term debt to capitalization,0.050,0.044,0.083,0.195,AMD
Total debt to capitalization,0.055,0.081,0.090,0.205,AMD
Interest coverage,14.364,107.294,20.596,2.213,AMD
Cash flow to debt ratio,1.123,5.327,1.866,0.677,AMD
Company equity multiplier,1.234,1.657,1.535,2.132,AMD
Receivables turnover,5.717,6.069,4.703,3.621,AMD
Payables turnover,5.214,6.438,11.573,3.910,AMD
Inventory turnover,3.447,4.350,3.871,3.934,AMD
Fixed asset turnover,11.962,15.373,11.499,9.548,AMD
Asset turnover,0.349,1.323,1.089,1.117,AMD
Operating cash flow per share,2.284,2.903,0.905,0.452,AMD
Free cash flow per share,1.996,2.655,0.656,0.253,AMD
Cash per share,3.751,2.974,1.934,1.378,AMD
Payout ratio,0,0,0,0,AMD
Operating cash flow sales ratio,0.151,0.214,0.110,0.073,AMD
Free cash flow operating cash flow ratio,0.874,0.915,0.725,0.560,AMD
Cash flow coverage ratios,1.123,5.327,1.866,0.677,AMD
Short term coverage ratios,11.426,11.285,24.907,11.465,AMD
Capital expenditure coverage ratio,-7.922,-11.698,-3.643,-2.272,AMD
Dividend paid and capex coverage ratio,-7.922,-11.698,-3.643,-2.272,AMD
Dividend payout ratio,0,0,0,0,AMD
Price book value ratio,1.847,23.645,18.623,17.822,AMD
Price to book ratio,1.847,23.645,18.623,17.822,AMD
Price to sales ratio,4.284,10.787,11.134,7.485,AMD
Price earnings ratio,76.595,56.062,43.656,147.749,AMD
Price to free cash flows ratio,32.458,55.052,139.901,182.545,AMD
Price to operating cash flows ratio,28.361,50.346,101.497,102.195,AMD
Price cash flow ratio,28.361,50.346,101.497,102.195,AMD
Price earnings to growth ratio,-1.136,2.308,0.076,-16.745,AMD
Price sales ratio,4.284,10.787,11.134,7.485,AMD
Dividend yield,0,0,0,0,AMD
Enterprise value multiple,29.399,47.365,81.421,106.441,AMD
Price fair value,1.847,23.645,18.623,17.822,AMD
