,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AMP,14271.0,14271.0,13489.0,11899.0,12754.0
Interest expense(figures in $M),AMP,198.0,198.0,191.0,162.0,214.0
Total other income/expenses net(figures in $M),AMP,491.0,491.0,382.0,283.0,1279.0
Income before tax(figures in $M),AMP,3182.0,3182.0,3350.0,1831.0,2232.0
Income tax expense(figures in $M),AMP,623.0,623.0,590.0,297.0,339.0
Income from continuing operations(figures in $M),AMP,2559.0,2559.0,2760.0,1534.0,1893.0
Net income(figures in $M),AMP,2559.0,2559.0,2760.0,1534.0,1893.0
Net income available to common shareholders(figures in $M),AMP,2559.0,2559.0,2760.0,1534.0,1893.0
Basic EPS(figures in $M),AMP,,,2.353e-05,1.239e-05,1.4119999999999999e-05
Diluted EPS(figures in $M),AMP,,,2.3e-05,1.22e-05,1.392e-05
Basic average shares(figures in $M),AMP,,105.279,110.861,123.8,134.1
Diluted average shares(figures in $M),AMP,,105.279,110.861,125.7,136.0
