,ticker,sentiment
2023-04-30 05:35:00,AMZN,0.2263
2023-04-30 05:35:00,AMZN,0.5574
2023-04-30 06:33:00,AMZN,0.5574
2023-04-30 07:00:00,AMZN,0.25
2023-04-30 07:50:00,AMZN,0.2263
2023-04-30 11:00:00,AMZN,0.4588
2023-04-30 12:24:18,AMZN,0.0258
2023-04-30 14:25:25,AMZN,0.1779
2023-04-30 14:26:16,AMZN,-0.1027
2023-04-30 18:48:00,AMZN,0.4019
2023-04-30 19:24:00,AMZN,-0.3182
2023-04-30 19:39:00,AMZN,0.8038
2023-04-30 20:21:03,AMZN,0.3818
2023-04-30 20:40:00,AMZN,0.2924
2023-04-30 21:05:00,AMZN,-0.128
2023-04-30 21:37:00,AMZN,0.0258
2023-04-30 21:50:00,AMZN,0.128
2023-04-30 22:19:57,AMZN,-0.1531
2023-04-30 22:49:00,AMZN,-0.3612
2023-04-30 23:38:00,AMZN,0.1027
2023-04-30 23:46:00,AMZN,0.5903
2023-05-01 00:06:00,AMZN,0.1779
2023-05-01 00:41:00,AMZN,0.1779
2023-05-01 00:55:00,AMZN,0.4588
2023-05-01 01:00:00,AMZN,0.1779
2023-05-01 01:13:00,AMZN,0.6124
2023-05-01 01:50:08,AMZN,0.1779
2023-05-01 01:51:00,AMZN,0.1779
2023-05-01 02:15:00,AMZN,-0.5423
2023-05-01 02:30:00,AMZN,0.2023
2023-05-01 03:03:00,AMZN,0.1779
2023-05-01 03:05:00,AMZN,0.25
2023-05-01 04:05:00,AMZN,-0.4576
2023-05-01 04:30:00,AMZN,0.6369
2023-05-01 04:49:40,AMZN,0.09
2023-05-01 05:00:01,AMZN,0.4939
2023-05-01 06:42:34,AMZN,0.4404
2023-05-01 06:58:49,AMZN,0.4404
2023-05-01 07:00:00,AMZN,0.1779
2023-05-01 08:13:21,AMZN,0.2382
2023-05-01 08:38:00,AMZN,0.8038
2023-05-01 09:05:59,AMZN,-0.3612
2023-05-01 09:10:32,AMZN,-0.5242
2023-05-01 09:17:56,AMZN,0.3818
2023-05-01 09:43:22,AMZN,0.4927
2023-05-01 10:40:00,AMZN,-0.5116
2023-05-01 13:52:00,AMZN,-0.128
2023-05-01 16:53:08,AMZN,0.4019
2023-05-01 16:59:00,AMZN,-0.128
2023-05-01 17:15:00,AMZN,-0.6808
2023-05-01 17:41:11,AMZN,0.2263
2023-05-01 19:20:00,AMZN,0.5106
2023-05-01 19:55:00,AMZN,0.1779
2023-05-01 20:33:00,AMZN,-0.296
2023-05-01 21:47:00,AMZN,-0.6124
2023-05-01 22:37:00,AMZN,0.4576
2023-05-01 23:06:00,AMZN,-0.6808
2023-05-01 23:06:00,AMZN,-0.128
2023-05-01 23:57:12,AMZN,0.1779
2023-05-01 23:59:30,AMZN,-0.4404
2023-05-02 00:05:47,AMZN,0.5106
2023-05-02 00:55:00,AMZN,0.4588
2023-05-02 01:30:00,AMZN,0.8074
2023-05-02 01:30:00,AMZN,0.8225
2023-05-02 02:00:00,AMZN,0.4215
2023-05-02 02:12:00,AMZN,0.5106
2023-05-02 03:05:00,AMZN,0.4019
2023-05-02 03:15:00,AMZN,0.4767
2023-05-02 03:18:00,AMZN,0.3612
2023-05-02 04:00:01,AMZN,0.3818
2023-05-02 04:01:04,AMZN,-0.5267
2023-05-02 04:41:00,AMZN,0.4576
2023-05-02 04:43:00,AMZN,-0.4019
2023-05-02 04:45:13,AMZN,0.1779
2023-05-02 05:07:00,AMZN,0.4404
2023-05-02 05:15:00,AMZN,0.1779
2023-05-02 05:15:10,AMZN,-0.128
2023-05-02 05:24:33,AMZN,0.539
2023-05-02 05:27:00,AMZN,0.3182
2023-05-02 05:46:57,AMZN,-0.296
2023-05-02 05:57:02,AMZN,-0.2263
2023-05-02 06:12:22,AMZN,-0.5106
2023-05-02 06:25:20,AMZN,0.3182
2023-05-02 06:30:01,AMZN,0.7506
2023-05-02 06:37:00,AMZN,0.2023
2023-05-02 07:28:38,AMZN,-0.6124
2023-05-02 08:24:03,AMZN,0.3818
2023-05-02 10:00:00,AMZN,0.4215
2023-05-02 10:22:00,AMZN,0.4588
2023-05-02 10:28:28,AMZN,0.2484
2023-05-02 10:30:00,AMZN,0.7783
2023-05-02 11:47:51,AMZN,0.2458
2023-05-02 12:12:34,AMZN,0.6369
2023-05-02 14:29:33,AMZN,0.1779
2023-05-02 18:05:00,AMZN,0.3182
2023-05-02 19:02:01,AMZN,0.3182
2023-05-02 19:06:00,AMZN,0.4404
2023-05-02 20:25:00,AMZN,-0.296
2023-05-02 21:28:00,AMZN,0.4215
2023-05-02 22:08:00,AMZN,0.6369
2023-05-02 23:15:00,AMZN,0.3612
2023-05-03 00:00:00,AMZN,0.5994
2023-05-03 00:01:00,AMZN,0.0258
2023-05-03 00:04:00,AMZN,-0.3182
2023-05-03 00:11:51,AMZN,0.3612
2023-05-03 00:44:00,AMZN,0.4005
2023-05-03 00:45:00,AMZN,-0.128
2023-05-03 03:00:10,AMZN,-0.128
2023-05-03 03:09:00,AMZN,0.6369
2023-05-03 03:15:00,AMZN,0.0516
2023-05-03 03:54:00,AMZN,0.6124
2023-05-03 04:01:00,AMZN,-0.296
2023-05-03 04:09:00,AMZN,0.2023
2023-05-03 04:10:00,AMZN,-0.2263
2023-05-03 04:15:00,AMZN,0.5574
2023-05-03 04:37:00,AMZN,0.1779
2023-05-03 04:50:16,AMZN,-0.1027
2023-05-03 05:00:00,AMZN,0.1779
2023-05-03 05:05:00,AMZN,0.5423
2023-05-03 05:25:00,AMZN,0.5106
2023-05-03 05:37:46,AMZN,0.6369
2023-05-03 06:45:00,AMZN,0.4019
2023-05-03 06:54:00,AMZN,0.1779
2023-05-03 07:00:00,AMZN,-0.4215
2023-05-03 07:23:00,AMZN,0.5423
2023-05-03 07:47:43,AMZN,0.3612
2023-05-03 09:13:53,AMZN,0.1779
2023-05-03 09:45:04,AMZN,0.5994
2023-05-03 11:00:04,AMZN,0.6369
2023-05-03 12:00:23,AMZN,0.2263
2023-05-03 13:49:32,AMZN,0.5574
2023-05-03 18:08:00,AMZN,0.4019
2023-05-03 22:23:00,AMZN,0.5413
2023-05-04 00:05:00,AMZN,-0.296
2023-05-04 00:23:00,AMZN,0.4404
2023-05-04 00:27:04,AMZN,0.4678
2023-05-04 01:04:00,AMZN,0.1779
2023-05-04 01:22:00,AMZN,0.4404
2023-05-04 02:00:00,AMZN,0.1779
2023-05-04 02:07:00,AMZN,0.6369
2023-05-04 02:25:00,AMZN,0.5267
2023-05-04 02:30:00,AMZN,0.8294
2023-05-04 02:35:00,AMZN,0.3818
2023-05-04 02:52:57,AMZN,0.1027
2023-05-04 03:32:00,AMZN,-0.128
2023-05-04 03:45:00,AMZN,0.5106
2023-05-04 04:05:00,AMZN,-0.2023
2023-05-04 04:15:00,AMZN,0.6597
2023-05-04 04:15:00,AMZN,0.5267
2023-05-04 05:24:43,AMZN,-0.5092
2023-05-04 05:35:00,AMZN,0.3612
2023-05-04 05:42:55,AMZN,0.34
2023-05-04 06:55:01,AMZN,0.1779
2023-05-04 07:41:16,AMZN,-0.296
2023-05-04 08:38:19,AMZN,0.1779
2023-05-04 09:30:00,AMZN,0.5106
2023-05-04 10:24:17,AMZN,-0.2263
2023-05-04 11:03:52,AMZN,-0.3076
2023-05-04 14:00:03,AMZN,0.5423
2023-05-05 02:15:00,AMZN,0.5106
2023-05-05 02:30:00,AMZN,0.5574
2023-05-05 03:18:54,AMZN,0.1921
2023-05-05 04:00:00,AMZN,0.4767
2023-05-05 04:35:00,AMZN,-0.25
2023-05-05 05:03:12,AMZN,0.7625
2023-05-05 05:30:00,AMZN,0.1779
