,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AN,26985.0,26985.0,25844.0,20390.0,21335.7
Cost of revenue(figures in $M),AN,21719.7,21719.7,20891.4,16823.6,17812.7
Gross profit(figures in $M),AN,5265.3,5265.3,4952.6,3566.4,3523.0
Selling general and administrative(figures in $M),AN,3026.1,3026.1,2876.2,2422.0,2558.6
Total operating expenses(figures in $M),AN,3240.8,3240.8,3049.8,2627.4,2689.8
Operating income or loss(figures in $M),AN,2024.5,2024.5,1902.8,939.0,833.2
Interest expense(figures in $M),AN,176.3,176.3,118.7,157.5,245.1
Total other income/expenses net(figures in $M),AN,-14.7,-14.7,24.3,-231.7,24.0
Income before tax(figures in $M),AN,1833.5,1833.5,1808.4,550.1,612.6
Income tax expense(figures in $M),AN,455.8,455.8,435.1,168.3,161.8
Income from continuing operations(figures in $M),AN,1377.7,1377.7,1373.3,381.8,450.8
Net income(figures in $M),AN,1377.4,1377.4,1373.0,381.6,450.0
Net income available to common shareholders(figures in $M),AN,1377.4,1377.4,1373.0,381.6,450.0
Basic EPS(figures in $M),AN,,2.4469999999999998e-05,1.85e-05,4.2999999999999995e-06,4.9900000000000005e-06
Diluted EPS(figures in $M),AN,,2.429e-05,1.831e-05,4.2999999999999995e-06,4.97e-06
Basic average shares(figures in $M),AN,,56.3,74.2,88.7,90.1
Diluted average shares(figures in $M),AN,,56.7,75.0,88.744,90.5
EBITDA(figures in $M),AN,,2210.1,2120.4,906.5,1038.2
