,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),ANF,3697.751,3697.751,3712.768,3125.384,3623.073
Cost of revenue(figures in $M),ANF,1593.213,1593.213,1400.773,1234.179,1472.155
Gross profit(figures in $M),ANF,2104.538,2104.538,2311.995,1891.205,2150.918
Selling general and administrative(figures in $M),ANF,2000.533,2000.533,1966.291,1855.427,2015.858
Total operating expenses(figures in $M),ANF,1997.859,1997.859,1956.811,1838.737,2061.715
Operating income or loss(figures in $M),ANF,106.679,106.679,355.184,52.468,89.203
Interest expense(figures in $M),ANF,30.236,25.632,34.11,28.274,7.737
Total other income/expenses net(figures in $M),ANF,-14.031,-14.031,-12.1,-72.937,-19.135
Income before tax(figures in $M),ANF,67.016,67.016,308.974,-48.743,62.331
Income tax expense(figures in $M),ANF,56.631,56.631,38.908,60.211,17.371
Income from continuing operations(figures in $M),ANF,10.385,10.385,270.066,-108.954,44.96
Net income(figures in $M),ANF,2.816,2.816,263.01,-114.021,39.358
Net income available to common shareholders(figures in $M),ANF,2.816,2.816,263.01,-114.021,39.358
Basic EPS(figures in $M),ANF,,6e-08,4.41e-06,-1.8200000000000002e-06,6.1e-07
Diluted EPS(figures in $M),ANF,,5.0000000000000004e-08,4.2000000000000004e-06,-1.8200000000000002e-06,6e-07
Basic average shares(figures in $M),ANF,,50.307,59.597,62.551,64.428
Diluted average shares(figures in $M),ANF,,52.327,62.636,62.551,65.778
EBITDA(figures in $M),ANF,,92.648,343.084,-20.469,89.203
