,2018,2017,2016,2015,2014,ticker
Current ratio,0.815,1.731,1.582,0.952,1.096,APC
Quick ratio,0.598,1.478,1.259,0.381,0.829,APC
Cash ratio,0.278,1.166,0.957,0.225,0.720,APC
Days of sales outstanding,40.668,37.456,46.709,27.360,22.094,APC
Days of inventory outstanding,0,0,0,0,0,APC
Days of payables outstanding,698.276,0,0,0,0,APC
Gross profit margin,0.922,1,1,1,1,APC
Operating profit margin,0.196,-0.056,-0.330,-1.013,0.293,APC
Pretax profit margin,0.111,-0.142,-0.487,-1.114,0.003,APC
Net profit margin,0.046,-0.038,-0.390,-0.769,-0.095,APC
Effective tax rate,0.494,0.875,0.267,0.297,29.944,APC
Return on assets,0.015,-0.011,-0.067,-0.144,-0.028,APC
Return on equity,0.072,-0.043,-0.251,-0.522,-0.089,APC
Return on capital employed,0.073,-0.018,-0.062,-0.209,0.105,APC
Net income per EBT,0.414,0.270,0.802,0.691,-32.407,APC
Ebt per ebit,0.567,2.512,1.473,1.100,0.010,APC
Ebit per revenue,0.196,-0.056,-0.330,-1.013,0.293,APC
Debt ratio,0.790,0.746,0.732,0.724,0.680,APC
Debt equity ratio,3.752,2.935,2.731,2.621,2.127,APC
Long term debt to capitalization,0.645,0.592,0.556,0.551,0.433,APC
Total debt to capitalization,0.659,0.595,0.556,0.551,0.433,APC
Interest coverage,2.766,-0.721,-2.920,-10.678,6.999,APC
Cash flow to debt ratio,0.361,0.256,0.196,-0.119,0.561,APC
Company equity multiplier,4.752,3.935,3.731,3.621,3.127,APC
Receivables turnover,8.975,9.745,7.814,13.340,16.521,APC
Payables turnover,0.523,0,0,0,0,APC
Inventory turnover,0,0,0,0,0,APC
Fixed asset turnover,0.468,0.434,0.245,0.258,0.444,APC
Asset turnover,0.331,0.283,0.173,0.187,0.299,APC
Operating cash flow per share,11.764,7.316,5.747,-3.695,16.731,APC
Free cash flow per share,-0.504,-1.865,-0.967,-15.638,-2.059,APC
Cash per share,2.569,8.308,6.100,1.848,14.563,APC
Payout ratio,0.859,-0.243,-0.034,-0.083,-0.289,APC
Operating cash flow sales ratio,0.443,0.337,0.381,-0.216,0.458,APC
Free cash flow operating cash flow ratio,-0.043,-0.255,-0.168,4.232,-0.123,APC
Cash flow coverage ratios,0.361,0.256,0.196,-0.119,0.561,APC
Short term coverage ratios,6.261,28.232,71.429,-56.879,0,APC
Capital expenditure coverage ratio,-0.959,-0.797,-0.856,0.309,-0.890,APC
Dividend paid and capex coverage ratio,-1.048,-0.815,-0.882,0.340,-0.940,APC
Dividend payout ratio,0.859,-0.243,-0.034,-0.083,-0.289,APC
Dividend yield,0,0,0,0,0,APC
