,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ATI,584.0,687.7,645.9,490.8
Total cash(figures in $M),ATI,584.0,687.7,645.9,490.8
Net receivables(figures in $M),ATI,579.2,470.0,345.8,554.1
Inventory(figures in $M),ATI,1195.7,1046.3,997.1,1155.3
Other current assets(figures in $M),ATI,53.4,0.0,0.0,0.0
Total current assets(figures in $M),ATI,2476.4,2306.7,2066.0,2303.0
"Gross property, plant and equipment(figures in $M)",ATI,3528.6,3480.1,3336.4,4538.6
Accumulated depreciation(figures in $M),ATI,-1979.5,-1951.6,-1867.2,-2088.5
"Net property, plant and equipment(figures in $M)",ATI,1549.1,1528.5,1469.2,2450.1
Goodwill(figures in $M),ATI,227.2,227.9,240.7,525.8
Intangible assets(figures in $M),ATI,58.5,65.9,0.0,0.0
Other long-term assets(figures in $M),ATI,192.9,222.1,259.0,355.7
Total non-current assets(figures in $M),ATI,1969.2,1978.5,1968.9,3331.6
Total assets(figures in $M),ATI,4445.6,4285.2,4034.9,5634.6
Current debt(figures in $M),ATI,41.7,131.3,17.8,11.5
Accounts payable(figures in $M),ATI,553.3,375.5,290.6,521.2
Deferred revenues(figures in $M),ATI,149.1,116.2,111.8,78.7
Other current liabilities(figures in $M),ATI,219.8,233.4,233.1,237.8
Total current liabilities(figures in $M),ATI,963.9,856.4,653.3,849.2
Long-term debt(figures in $M),ATI,1706.3,1711.6,1550.0,1387.4
Deferred tax liabilities(figures in $M),ATI,0.0,0.0,0.0,7.0
Other long-term liabilities(figures in $M),ATI,207.7,211.0,189.9,153.8
Total non-current liabilities(figures in $M),ATI,2324.5,2596.1,2740.2,2592.2
Total liabilities(figures in $M),ATI,3288.4,3452.5,3393.5,3441.4
Common stock(figures in $M),ATI,13.1,12.7,12.7,12.7
Retained earnings(figures in $M),ATI,176.9,72.7,106.5,1679.3
Accumulated other comprehensive income(figures in $M),ATI,-725.2,-991.7,-1223.6,-1201.7
Total stockholders' equity(figures in $M),ATI,1045.9,685.6,521.1,2090.1
Total liabilities and stockholders' equity(figures in $M),ATI,4445.6,4285.2,4034.9,5634.6
