,2022,2021,2020,2019,2018,ticker
Current ratio,2.569,2.693,3.162,2.712,2.685,ATI
Quick ratio,1.273,1.415,1.578,1.276,1.148,ATI
Cash ratio,0.606,0.803,0.989,0.578,0.456,ATI
Days of sales outstanding,61.211,68.299,47.086,52.468,52.225,ATI
Days of inventory outstanding,139.801,154.828,135.329,121.010,129.395,ATI
Operating cycle,201.012,223.127,182.416,173.478,181.620,ATI
Days of payables outstanding,64.692,55.565,39.441,54.592,53.292,ATI
Cash conversion cycle,136.320,167.562,142.974,118.886,128.328,ATI
Gross profit margin,0.186,0.119,0.098,0.155,0.156,ATI
Operating profit margin,0.075,0.058,0.010,0.089,0.089,ATI
Pretax profit margin,0.042,0.004,-0.497,0.059,0.061,ATI
Net profit margin,0.034,-0.006,-0.523,0.062,0.055,ATI
Effective tax rate,0.096,2.528,-0.052,-0.118,0.044,ATI
Return on assets,0.029,-0.004,-0.387,0.046,0.040,ATI
Return on equity,0.125,-0.024,-2.993,0.123,0.118,ATI
Return on capital employed,0.083,0.047,0.008,0.077,0.078,ATI
Net income per EBT,0.808,-1.528,1.052,1.066,0.898,ATI
Ebt per ebit,0.564,0.066,-51.996,0.660,0.684,ATI
Ebit per revenue,0.075,0.058,0.010,0.089,0.089,ATI
Debt ratio,0.740,0.806,0.841,0.611,0.638,ATI
Debt equity ratio,1.671,2.688,3.009,0.669,0.818,ATI
Long term debt to capitalization,0.620,0.714,0.748,0.399,0.449,ATI
Total debt to capitalization,0.626,0.729,0.751,0.401,0.450,ATI
Interest coverage,3.287,1.669,0.302,3.698,3.585,ATI
Cash flow to debt ratio,0.129,0.009,0.106,0.164,0.255,ATI
Company equity multiplier,4.251,6.250,7.743,2.696,2.918,ATI
Receivables turnover,5.963,5.344,7.752,6.957,6.989,ATI
Payables turnover,5.642,6.569,9.254,6.686,6.849,ATI
Inventory turnover,2.611,2.357,2.697,3.016,2.821,ATI
Fixed asset turnover,2.476,1.832,2.030,1.683,1.635,ATI
Asset turnover,0.863,0.653,0.739,0.732,0.736,ATI
Operating cash flow per share,1.764,0.127,1.319,1.829,3.137,ATI
Free cash flow per share,0.737,-1.074,0.240,0.492,2.026,ATI
Cash per share,4.580,5.411,5.106,3.901,3.051,ATI
Payout ratio,0.260,0,0,0,0,ATI
Operating cash flow sales ratio,0.059,0.006,0.056,0.056,0.097,ATI
Free cash flow operating cash flow ratio,0.418,-8.478,0.182,0.269,0.646,ATI
Cash flow coverage ratios,0.129,0.009,0.106,0.164,0.255,ATI
Short term coverage ratios,5.393,0.123,9.376,20.009,59.515,ATI
Capital expenditure coverage ratio,-1.718,-0.106,-1.223,-1.368,-2.822,ATI
Dividend paid and capex coverage ratio,-2.321,-0.106,-1.223,-1.368,-2.822,ATI
Dividend payout ratio,0.260,0,0,0,0,ATI
Price book value ratio,3.640,2.953,4.071,1.243,1.445,ATI
Price to book ratio,3.640,2.953,4.071,1.243,1.445,ATI
Price to sales ratio,0.992,0.723,0.711,0.630,0.674,ATI
Price earnings ratio,29.084,-124.982,-1.360,10.089,12.255,ATI
Price to free cash flows ratio,40.502,-14.833,69.783,41.988,10.748,ATI
Price to operating cash flows ratio,16.928,125.758,12.711,11.295,6.939,ATI
Price cash flow ratio,16.928,125.758,12.711,11.295,6.939,ATI
Price earnings to growth ratio,0.033,-1.263,0.002,0.665,0.039,ATI
Price sales ratio,0.992,0.723,0.711,0.630,0.674,ATI
Dividend yield,0.009,0,0,0,0,ATI
Enterprise value multiple,9.529,10.405,17.714,6.773,7.917,ATI
Price fair value,3.640,2.953,4.071,1.243,1.445,ATI
