,2022,2021,2020,2019,2018,ticker
Current ratio,1.170,9.311,3.860,1.749,0.595,AVB
Quick ratio,0.930,6.854,2.504,0.429,0.142,AVB
Cash ratio,0.930,6.564,2.310,0.429,0.142,AVB
Days of sales outstanding,0,2.957,2.880,0,0,AVB
Days of inventory outstanding,12.919,0,0,0,0,AVB
Operating cycle,12.919,2.957,2.880,0,0,AVB
Days of payables outstanding,28.911,27.237,41.510,43.782,45.939,AVB
Cash conversion cycle,-15.992,-24.279,-38.630,-43.782,-45.939,AVB
Gross profit margin,0.646,0.628,0.642,0.670,0.663,AVB
Operating profit margin,0.317,0.284,0.312,0.364,0.362,AVB
Pretax profit margin,0.444,0.440,0.358,0.344,0.426,AVB
Net profit margin,0.438,0.438,0.360,0.338,0.427,AVB
Effective tax rate,0.013,0.006,-0.004,0.016,-0.000,AVB
Return on assets,0.056,0.050,0.043,0.041,0.053,AVB
Return on equity,0.101,0.092,0.077,0.072,0.092,AVB
Return on capital employed,0.042,0.033,0.038,0.044,0.047,AVB
Net income per EBT,0.988,0.994,1.004,0.984,1.001,AVB
Ebt per ebit,1.400,1.551,1.150,0.945,1.179,AVB
Ebit per revenue,0.317,0.284,0.312,0.364,0.362,AVB
Debt ratio,0.450,0.450,0.440,0.425,0.422,AVB
Debt equity ratio,0.739,0.741,0.704,0.664,0.662,AVB
Long term debt to capitalization,0.425,0.426,0.413,0.399,0.398,AVB
Total debt to capitalization,0.425,0.426,0.413,0.399,0.398,AVB
Interest coverage,3.573,2.955,3.348,4.153,3.740,AVB
Cash flow to debt ratio,0.171,0.148,0.161,0.181,0.185,AVB
Company equity multiplier,1.818,1.820,1.786,1.740,1.729,AVB
Receivables turnover,0,123.419,126.728,0,0,AVB
Payables turnover,12.625,13.401,8.793,8.337,7.945,AVB
Inventory turnover,28.253,0,0,0,0,AVB
Fixed asset turnover,18.094,15.654,14.821,18.603,0,AVB
Asset turnover,0.127,0.115,0.120,0.122,0.124,AVB
Operating cash flow per share,10.126,8.614,8.685,9.481,9.411,AVB
Free cash flow per share,8.882,7.517,7.709,8.470,8.783,AVB
Cash per share,4.367,3.009,1.545,0.285,0.663,AVB
Payout ratio,0.783,0.885,1.068,1.069,0.827,AVB
Operating cash flow sales ratio,0.548,0.524,0.530,0.569,0.570,AVB
Free cash flow operating cash flow ratio,0.877,0.873,0.888,0.893,0.933,AVB
Cash flow coverage ratios,0.171,0.148,0.161,0.181,0.185,AVB
Short term coverage ratios,0,0,0,0,0,AVB
Capital expenditure coverage ratio,-8.139,-7.852,-8.900,-9.382,-14.967,AVB
Dividend paid and capex coverage ratio,1.988,1.636,1.634,1.890,1.810,AVB
Dividend payout ratio,0.783,0.885,1.068,1.069,0.827,AVB
Price book value ratio,2.016,3.227,2.095,2.660,2.263,AVB
Price to book ratio,2.016,3.227,2.095,2.660,2.263,AVB
Price to sales ratio,8.746,15.374,9.790,12.577,10.533,AVB
Price earnings ratio,19.953,35.131,27.221,37.198,24.691,AVB
Price to free cash flows ratio,18.186,33.604,20.810,24.757,19.817,AVB
Price to operating cash flows ratio,15.951,29.324,18.472,22.119,18.493,AVB
Price cash flow ratio,15.951,29.324,18.472,22.119,18.493,AVB
Price earnings to growth ratio,1.526,1.592,6.141,-1.860,2.276,AVB
Price sales ratio,8.746,15.374,9.790,12.577,10.533,AVB
Dividend yield,0.039,0.025,0.039,0.029,0.033,AVB
Enterprise value multiple,18.560,30.474,20.977,24.214,16.978,AVB
Price fair value,2.016,3.227,2.095,2.660,2.263,AVB
