,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AXP,52560.0,52862.0,42380.0,36087.0,43556.0
Interest expense(figures in $M),AXP,2763.0,2763.0,1283.0,2098.0,3464.0
Income before tax(figures in $M),AXP,9585.0,9585.0,10689.0,4296.0,8429.0
Income tax expense(figures in $M),AXP,2071.0,2071.0,2629.0,1161.0,1670.0
Income from continuing operations(figures in $M),AXP,7514.0,7514.0,8060.0,3135.0,6759.0
Net income(figures in $M),AXP,7514.0,7514.0,8060.0,3135.0,6759.0
Net income available to common shareholders(figures in $M),AXP,7400.0,7400.0,7917.0,3036.0,6631.0
Basic EPS(figures in $M),AXP,,9.859999999999999e-06,1.0039999999999999e-05,3.77e-06,8e-06
Diluted EPS(figures in $M),AXP,,9.849999999999999e-06,1.0019999999999999e-05,3.77e-06,7.99e-06
Basic average shares(figures in $M),AXP,,751.0,789.0,805.0,828.0
Diluted average shares(figures in $M),AXP,,752.0,790.0,806.0,830.0
