,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-4935.0,-5053.0,-4290.0,-11941.0,-636.0,BA
Depreciation & amortisation(figures in $M),1979.0,1979.0,2144.0,2246.0,2271.0,BA
Stock-based compensation(figures in $M),725.0,725.0,833.0,250.0,212.0,BA
Change in working capital(figures in $M),4139.0,4139.0,-6977.0,-17335.0,-4629.0,BA
Accounts receivable(figures in $M),142.0,142.0,-713.0,909.0,603.0,BA
Inventory(figures in $M),420.0,420.0,-1127.0,-11002.0,-12391.0,BA
Accounts payable(figures in $M),838.0,838.0,-3783.0,-5363.0,1600.0,BA
Other working capital(figures in $M),2290.0,2290.0,-4396.0,-19713.0,-4407.0,BA
Other non-cash items(figures in $M),1616.0,1616.0,1593.0,1669.0,584.0,BA
Net cash provided by operating activities(figures in $M),3512.0,3512.0,-3416.0,-18410.0,-2446.0,BA
"Investments in property, plant and equipment(figures in $M)",-1222.0,-1222.0,-980.0,-1303.0,-1961.0,BA
"Acquisitions, net(figures in $M)",0.0,0.0,-6.0,0.0,-455.0,BA
Purchases of investments(figures in $M),-5051.0,-5051.0,-35713.0,-37616.0,-1658.0,BA
Sales/maturities of investments(figures in $M),10619.0,10619.0,45489.0,20275.0,1759.0,BA
Other investing activities(figures in $M),-11.0,-11.0,5.0,-18.0,-13.0,BA
Net cash used for investing activities(figures in $M),4370.0,4370.0,9324.0,-18366.0,-1530.0,BA
Debt repayment(figures in $M),-1310.0,-1310.0,-15371.0,-10998.0,-12171.0,BA
Common stock repurchased(figures in $M),0.0,0.0,0.0,0.0,-2651.0,BA
Dividends paid(figures in $M),0.0,0.0,0.0,-1158.0,-4630.0,BA
Other financing activities(figures in $M),-40.0,-40.0,-66.0,-173.0,-256.0,BA
Net cash used provided by (used for) financing activities(figures in $M),-1266.0,-1266.0,-5600.0,34955.0,5739.0,BA
Net change in cash(figures in $M),6543.0,6543.0,269.0,-1736.0,1758.0,BA
Cash at beginning of period(figures in $M),8104.0,8104.0,7835.0,9571.0,7813.0,BA
Cash at end of period(figures in $M),14614.0,14614.0,8052.0,7752.0,9485.0,BA
Operating cash flow(figures in $M),3512.0,3512.0,-3416.0,-18410.0,-2446.0,BA
Capital expenditure(figures in $M),-1222.0,-1222.0,-980.0,-1303.0,-1961.0,BA
Free cash flow(figures in $M),2290.0,2290.0,-4396.0,-19713.0,-4407.0,BA
