,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BA,"77,715","91,228","99,209","107,109","109,822"
Dividend,BA,0.32,0.91,1.97,3.14,-
Dividend Yield (in %),BA,0.15 %,0.37 %,0.72 %,0.81 %,-
EPS,BA,-1.35,5.65,9.24,10.23,12.51
P/E Ratio,BA,-147.04,35.19,21.54,19.45,15.90
EBIT(In $M),BA,"3,044","6,986","9,248","9,668","11,015"
EBITDA(In $M),BA,"4,593","8,982","11,097","11,963","13,945"
Net Profit(In $M),BA,"1,018","4,715","6,630","7,263","7,807"
Net Profit Adjusted(In $M),BA,3,"4,194","5,635","7,159","8,161"
Pre-Tax Profit(In $M),BA,"1,345","5,547","8,121","9,064","9,294"
Net Profit (Adjusted)(In $M),BA,-323,"4,559","7,555",-,-
EPS (Non-GAAP) ex. SOE(In $),BA,-1.35,5.65,9.24,10.23,12.51
EPS (GAAP)(In $),BA,1.37,7.26,10.92,12.23,12.66
Gross Income(In $M),BA,"9,814","13,750","15,583","20,586",-
Cash Flow from Investing(In $M),BA,"-2,610","-2,099","-2,099","-2,096","-2,265"
Cash Flow from Operations(In $M),BA,"5,202","8,814","11,849","12,572","14,425"
Cash Flow from Financing(In $M),BA,"-5,608","-5,725","-7,248","-9,831","-8,789"
Cash Flow per Share(In $),BA,5.82,10.12,19.28,-,-
Free Cash Flow(In $M),BA,"3,490","7,258","10,419","10,899","12,160"
Free Cash Flow per Share(In $),BA,5.63,11.88,17.47,18.35,19.72
Book Value per Share(In $),BA,-22.92,-13.75,1.02,-,-
Net Debt(In $M),BA,"38,224","31,925","21,636","12,396",-
Research & Development Exp.(In $M),BA,"3,007","3,073","2,811","3,386",-
Capital Expenditure(In $M),BA,"1,464","1,641","1,851","1,935","2,265"
"Selling, General & Admin. Exp.(In $M)",BA,"5,054","5,614","6,063","6,356",-
Shareholder’s Equity(In $M),BA,"-14,270","-9,320","1,200","8,381","8,264"
Total Assets(In $M),BA,"133,617","132,318","132,646","133,641","128,545"
