,ticker,2023,2024,2025,2026
Revenue(In $M),BAC,"100,963","100,668","103,335",-
Dividend,BAC,0.92,1.02,1.12,-
Dividend Yield (in %),BAC,2.72 %,3.02 %,3.87 %,-
EPS,BAC,3.40,3.40,3.74,3.37
P/E Ratio,BAC,8.01,8.02,7.29,8.09
EBIT(In $M),BAC,"37,727","37,193","39,357",-
EBITDA(In $M),BAC,-,-,-,-
Net Profit(In $M),BAC,"27,968","26,627","27,847",-
Net Profit Adjusted(In $M),BAC,"27,832","26,391","27,304",-
Pre-Tax Profit(In $M),BAC,"32,785","31,377","33,172",-
Net Profit (Adjusted)(In $M),BAC,"32,593","31,738",-,-
EPS (Non-GAAP) ex. SOE(In $),BAC,3.41,3.39,3.71,-
EPS (GAAP)(In $),BAC,3.40,3.40,3.74,3.37
Gross Income(In $M),BAC,-,-,-,-
Cash Flow from Investing(In $M),BAC,-,-,-,-
Cash Flow from Operations(In $M),BAC,-,-,-,-
Cash Flow from Financing(In $M),BAC,-,-,-,-
Cash Flow per Share(In $),BAC,-,-,-,-
Free Cash Flow(In $M),BAC,-,-,-,-
Free Cash Flow per Share(In $),BAC,-,-,-,-
Book Value per Share(In $),BAC,33.36,35.65,38.29,-
Net Debt(In $M),BAC,-,-,-,-
Research & Development Exp.(In $M),BAC,-,-,-,-
Capital Expenditure(In $M),BAC,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",BAC,-,-,-,-
Shareholder’s Equity(In $M),BAC,"266,904","274,438","277,816",-
Total Assets(In $M),BAC,"3,152,845","3,220,517","3,210,791",-
