,ticker,ttm,2022-02-28,2021-02-28,2020-02-29
Total revenue(figures in $M),BBBY,6210.944,7867.778,9233.028,11158.58
Cost of revenue(figures in $M),BBBY,4604.699,5384.287,6114.947,7616.92
Gross profit(figures in $M),BBBY,1606.245,2483.491,3118.081,3541.66
Selling general and administrative(figures in $M),BBBY,2538.578,2692.292,3224.363,3732.498
Total operating expenses(figures in $M),BBBY,2538.578,2692.292,3224.363,3732.498
Operating income or loss(figures in $M),BBBY,-932.333,-208.801,-106.282,-190.838
Interest expense(figures in $M),BBBY,85.387,64.702,76.913,64.789
Total other income/expenses net(figures in $M),BBBY,-275.061,-199.153,-153.567,-509.226
Income before tax(figures in $M),BBBY,-1292.781,-472.656,-336.762,-764.853
Income tax expense(figures in $M),BBBY,-16.885,86.967,-185.989,-151.037
Income from continuing operations(figures in $M),BBBY,-1275.896,-559.623,-150.773,-613.816
Net income(figures in $M),BBBY,-1275.896,-559.623,-150.773,-613.816
Net income available to common shareholders(figures in $M),BBBY,-1275.896,-559.623,-150.773,-613.816
Basic EPS(figures in $M),BBBY,,-5.639999999999999e-06,-1.24e-06,-4.94e-06
Diluted EPS(figures in $M),BBBY,,-5.639999999999999e-06,-1.24e-06,-4.94e-06
Basic average shares(figures in $M),BBBY,,99.249,121.446,124.352
Diluted average shares(figures in $M),BBBY,,99.249,121.446,124.352
EBITDA(figures in $M),BBBY,,-114.328,81.063,-357.553
