,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),BEN,4782.5,4647.2,3957.5,5957.6
Total cash(figures in $M),BEN,4782.5,4647.2,3957.5,5957.6
Net receivables(figures in $M),BEN,1264.8,1428.2,1200.6,839.0
Total current assets(figures in $M),BEN,6047.3,6075.4,5158.1,6796.6
"Gross property, plant and equipment(figures in $M)",BEN,2165.5,2399.1,2445.4,1716.0
Accumulated depreciation(figures in $M),BEN,-957.7,-1180.7,-1096.8,-1032.3
"Net property, plant and equipment(figures in $M)",BEN,1207.8,1218.4,1348.6,683.7
Equity and other investments(figures in $M),BEN,9549.4,7330.4,3979.7,3859.7
Goodwill(figures in $M),BEN,5778.6,4457.7,4500.8,2130.3
Intangible assets(figures in $M),BEN,5082.1,4710.2,4914.2,864.2
Other long-term assets(figures in $M),BEN,395.4,376.3,319.5,197.7
Total non-current assets(figures in $M),BEN,22013.3,18093.0,15062.8,7735.6
Total assets(figures in $M),BEN,28060.6,24168.4,20220.9,14532.2
Accounts payable(figures in $M),BEN,1113.1,1037.3,793.8,304.4
Taxes payable(figures in $M),BEN,523.1,693.6,703.3,824.7
Total current liabilities(figures in $M),BEN,1636.2,1730.9,1640.3,1266.5
Long-term debt(figures in $M),BEN,8834.1,7070.4,4350.5,747.7
Deferred tax liabilities(figures in $M),BEN,347.8,311.7,305.3,120.1
Other long-term liabilities(figures in $M),BEN,1425.0,614.1,724.1,524.6
Total non-current liabilities(figures in $M),BEN,12599.7,9693.9,7064.9,1894.8
Total liabilities(figures in $M),BEN,14235.9,11424.8,8705.2,3161.3
Common stock(figures in $M),BEN,50.0,50.2,49.5,49.9
Retained earnings(figures in $M),BEN,12045.6,11550.8,10472.6,10288.2
Accumulated other comprehensive income(figures in $M),BEN,-621.0,-377.6,-407.6,-431.6
Total stockholders' equity(figures in $M),BEN,11474.6,11223.4,10114.5,9906.5
Total liabilities and stockholders' equity(figures in $M),BEN,28060.6,24168.4,20220.9,14532.2
