,2022,2021,2020,2019,2018,ticker
Current ratio,3.696,3.510,3.145,5.366,5.584,BEN
Quick ratio,3.696,3.510,3.145,5.366,5.584,BEN
Cash ratio,2.923,2.685,2.413,4.704,4.974,BEN
Days of sales outstanding,55.787,61.871,78.724,53.032,48.976,BEN
Days of inventory outstanding,0,0,0,0,0,BEN
Operating cycle,55.787,61.871,78.724,53.032,48.976,BEN
Days of payables outstanding,82.320,74.573,81,32.637,24.143,BEN
Cash conversion cycle,-26.533,-12.702,-2.276,20.395,24.833,BEN
Gross profit margin,0.404,0.397,0.357,0.410,0.457,BEN
Operating profit margin,0.214,0.223,0.188,0.270,0.335,BEN
Pretax profit margin,0.209,0.290,0.183,0.285,0.351,BEN
Net profit margin,0.156,0.217,0.144,0.207,0.121,BEN
Effective tax rate,0.229,0.143,0.227,0.268,0.665,BEN
Return on assets,0.046,0.076,0.040,0.082,0.053,BEN
Return on equity,0.113,0.163,0.079,0.121,0.077,BEN
Return on capital employed,0.067,0.084,0.056,0.117,0.163,BEN
Net income per EBT,0.747,0.749,0.785,0.726,0.345,BEN
Ebt per ebit,0.975,1.304,0.970,1.058,1.046,BEN
Ebit per revenue,0.214,0.223,0.188,0.270,0.335,BEN
Debt ratio,0.507,0.473,0.431,0.218,0.290,BEN
Debt equity ratio,0.862,0.676,0.492,0.075,0.074,BEN
Long term debt to capitalization,0.449,0.403,0.330,0.070,0.069,BEN
Total debt to capitalization,0.463,0.403,0.330,0.070,0.069,BEN
Interest coverage,18.064,21.956,31.404,63.053,43.503,BEN
Cash flow to debt ratio,0.198,0.164,0.205,0.270,3.061,BEN
Company equity multiplier,2.445,2.153,1.999,1.467,1.453,BEN
Receivables turnover,6.543,5.899,4.636,6.883,7.453,BEN
Payables turnover,4.434,4.895,4.506,11.184,15.118,BEN
Inventory turnover,0,0,0,0,0,BEN
Fixed asset turnover,6.852,6.915,4.128,8.446,11.811,BEN
Asset turnover,0.295,0.349,0.275,0.397,0.439,BEN
Operating cash flow per share,4.004,2.542,2.076,0.400,4.149,BEN
Free cash flow per share,3.819,2.380,1.866,-0.064,3.951,BEN
Cash per share,9.786,9.486,8.045,11.830,12.859,BEN
Payout ratio,0.451,0.306,0.667,0.434,2.769,BEN
Operating cash flow sales ratio,0.236,0.148,0.183,0.035,0.353,BEN
Free cash flow operating cash flow ratio,0.954,0.936,0.898,-0.159,0.952,BEN
Cash flow coverage ratios,0.198,0.164,0.205,0.270,3.061,BEN
Short term coverage ratios,3.703,0,0,0,0,BEN
Capital expenditure coverage ratio,-21.669,-15.705,-9.850,-0.863,-20.936,BEN
Dividend paid and capex coverage ratio,3.971,2.592,2.378,0.708,1.109,BEN
Dividend payout ratio,0.451,0.306,0.667,0.434,2.769,BEN
Price book value ratio,0.917,1.297,0.990,1.467,1.655,BEN
Price to book ratio,0.917,1.297,0.990,1.467,1.655,BEN
Price to sales ratio,1.271,1.728,1.798,2.517,2.593,BEN
Price earnings ratio,8.141,7.951,12.530,12.155,21.436,BEN
Price to free cash flows ratio,5.635,12.486,10.908,-452.769,7.717,BEN
Price to operating cash flows ratio,5.375,11.691,9.800,72.093,7.349,BEN
Price cash flow ratio,5.375,11.691,9.800,72.093,7.349,BEN
Price earnings to growth ratio,-0.278,0.064,-0.387,0.176,-0.398,BEN
Price sales ratio,1.271,1.728,1.798,2.517,2.593,BEN
Dividend yield,0.055,0.038,0.053,0.036,0.129,BEN
Enterprise value multiple,7.343,8.306,9.996,5.987,4.320,BEN
Price fair value,0.917,1.297,0.990,1.467,1.655,BEN
