,2023,2022,2021,2020,2019,ticker
Current ratio,1.397,1.255,1.585,1.222,1.766,BIG
Quick ratio,0.049,0.048,0.559,0.061,0.072,BIG
Cash ratio,0.049,0.048,0.559,0.061,0.072,BIG
Days of sales outstanding,0,0,0,0,0,BIG
Days of inventory outstanding,117.868,120.363,92.714,104.804,113.564,BIG
Operating cycle,117.868,120.363,92.714,104.804,113.564,BIG
Days of payables outstanding,43.297,57.128,39.286,43.029,46.489,BIG
Cash conversion cycle,74.571,63.235,53.428,61.775,67.075,BIG
Gross profit margin,0.350,0.390,0.403,0.397,0.405,BIG
Operating profit margin,-0.048,0.039,0.063,0.029,0.042,BIG
Pretax profit margin,-0.051,0.038,0.136,0.060,0.040,BIG
Net profit margin,-0.039,0.029,0.101,0.046,0.030,BIG
Effective tax rate,0.249,0.233,0.255,0.236,0.244,BIG
Return on assets,-0.057,0.045,0.156,0.076,0.078,BIG
Return on equity,-0.276,0.176,0.492,0.287,0.226,BIG
Return on capital employed,-0.094,0.086,0.129,0.067,0.158,BIG
Net income per EBT,0.751,0.767,0.745,0.764,0.756,BIG
Ebt per ebit,1.072,0.967,2.151,2.038,0.950,BIG
Ebit per revenue,-0.048,0.039,0.063,0.029,0.042,BIG
Debt ratio,0.793,0.743,0.684,0.735,0.657,BIG
Debt equity ratio,2.707,1.802,1.352,1.806,0.748,BIG
Long term debt to capitalization,0.704,0.610,0.540,0.609,0.428,BIG
Total debt to capitalization,0.730,0.643,0.575,0.644,0.428,BIG
Interest coverage,-12.894,25.833,35.589,9.261,21.136,BIG
Cash flow to debt ratio,-0.070,0.107,0.231,0.222,0.451,BIG
Company equity multiplier,4.832,3.899,3.160,3.772,2.920,BIG
Receivables turnover,0,0,0,0,0,BIG
Payables turnover,8.430,6.389,9.291,8.483,7.851,BIG
Inventory turnover,3.097,3.032,3.937,3.483,3.214,BIG
Fixed asset turnover,2.366,2.492,2.620,2.595,6.370,BIG
Asset turnover,1.482,1.566,1.535,1.669,2.589,BIG
Operating cash flow per share,-4.409,5.921,10.445,8.637,5.735,BIG
Free cash flow per share,-9.281,1.007,6.908,1.880,-3.503,BIG
Cash per share,1.367,1.642,14.635,1.343,1.128,BIG
Payout ratio,-0.176,0.234,0.075,0.200,0.323,BIG
Operating cash flow sales ratio,-0.026,0.032,0.064,0.064,0.045,BIG
Free cash flow operating cash flow ratio,2.105,0.170,0.661,0.218,-0.611,BIG
Cash flow coverage ratios,-0.070,0.107,0.231,0.222,0.451,BIG
Short term coverage ratios,-0.572,0.800,1.766,1.598,0,BIG
Capital expenditure coverage ratio,0.905,-1.205,-2.953,-1.278,-0.621,BIG
Dividend paid and capex coverage ratio,1.179,-1.626,-4.525,-1.564,-0.717,BIG
Dividend payout ratio,-0.176,0.234,0.075,0.200,0.323,BIG
Price book value ratio,0.722,1.295,1.786,1.256,1.844,BIG
Price to book ratio,0.722,1.295,1.786,1.256,1.844,BIG
Price to sales ratio,0.101,0.212,0.368,0.199,0.244,BIG
Price earnings ratio,-2.618,7.339,3.626,4.380,8.147,BIG
Price to free cash flows ratio,-1.817,39.586,8.639,14.396,-8.940,BIG
Price to operating cash flows ratio,-3.824,6.733,5.714,3.133,5.461,BIG
Price cash flow ratio,-3.824,6.733,5.714,3.133,5.461,BIG
Price earnings to growth ratio,0.012,-0.110,0.022,0.072,-0.612,BIG
Price sales ratio,0.101,0.212,0.368,0.199,0.244,BIG
Dividend yield,0.067,0.032,0.021,0.046,0.040,BIG
Enterprise value multiple,-24.456,7.992,6.497,8.721,5.274,BIG
Price fair value,0.722,1.295,1.786,1.256,1.844,BIG
