,2022,2021,2020,2019,2018,ticker
Current ratio,2.992,1.828,1.840,1.723,2.319,BIIB
Quick ratio,2.148,1.245,1.209,1.307,1.828,BIIB
Cash ratio,1.045,0.526,0.356,0.599,0.372,BIIB
Days of sales outstanding,76.649,51.498,51.957,47.739,67.433,BIIB
Days of inventory outstanding,215.383,233.824,216.064,150.114,186.871,BIIB
Operating cycle,292.032,285.321,268.021,197.853,254.304,BIIB
Days of payables outstanding,78.742,101.938,91.978,99.080,74.455,BIIB
Cash conversion cycle,213.290,183.383,176.043,98.772,179.849,BIIB
Gross profit margin,0.776,0.808,0.866,0.864,0.865,BIIB
Operating profit margin,0.228,0.259,0.338,0.490,0.438,BIIB
Pretax profit margin,0.353,0.159,0.375,0.496,0.439,BIIB
Net profit margin,0.299,0.142,0.298,0.410,0.329,BIIB
Effective tax rate,0.176,0.030,0.197,0.163,0.242,BIIB
Return on assets,0.124,0.065,0.163,0.216,0.175,BIIB
Return on equity,0.228,0.142,0.374,0.441,0.340,BIIB
Return on capital employed,0.109,0.145,0.218,0.315,0.268,BIIB
Net income per EBT,0.848,0.892,0.793,0.826,0.751,BIIB
Ebt per ebit,1.548,0.614,1.109,1.012,1.002,BIIB
Ebit per revenue,0.228,0.259,0.338,0.490,0.438,BIIB
Debt ratio,0.455,0.541,0.566,0.510,0.485,BIIB
Debt equity ratio,0.494,0.694,0.733,0.477,0.455,BIIB
Long term debt to capitalization,0.331,0.376,0.423,0.268,0.313,BIIB
Total debt to capitalization,0.331,0.410,0.423,0.323,0.313,BIIB
Interest coverage,9.409,11.201,20.450,37.581,29.355,BIIB
Cash flow to debt ratio,0.209,0.479,0.540,1.112,1.042,BIIB
Company equity multiplier,1.834,2.179,2.304,2.042,1.939,BIIB
Receivables turnover,4.762,7.088,7.025,7.646,5.413,BIIB
Payables turnover,4.635,3.581,3.968,3.684,4.902,BIIB
Inventory turnover,1.695,1.561,1.689,2.431,1.953,BIIB
Fixed asset turnover,2.748,2.896,3.497,3.913,3.736,BIIB
Asset turnover,0.414,0.460,0.546,0.528,0.532,BIIB
Operating cash flow per share,9.527,24.412,26.288,37.833,30.199,BIIB
Free cash flow per share,7.853,22.435,22.859,34.255,25.874,BIIB
Cash per share,33.674,25.503,16.222,23.923,17.267,BIIB
Payout ratio,0,0,0,0,0,BIIB
Operating cash flow sales ratio,0.136,0.331,0.315,0.492,0.460,BIIB
Free cash flow operating cash flow ratio,0.824,0.919,0.870,0.905,0.857,BIIB
Cash flow coverage ratios,0.209,0.479,0.540,1.112,1.042,BIIB
Short term coverage ratios,0,3.643,0,4.732,0,BIIB
Capital expenditure coverage ratio,-5.692,-12.343,-7.665,-10.573,-6.983,BIIB
Dividend paid and capex coverage ratio,-5.692,-12.343,-7.665,-10.573,-6.983,BIIB
Dividend payout ratio,0,0,0,0,0,BIIB
Price book value ratio,3.005,3.264,3.687,4.162,4.729,BIIB
Price to book ratio,3.005,3.264,3.687,4.162,4.729,BIIB
Price to sales ratio,3.955,3.257,2.930,3.861,4.583,BIIB
Price earnings ratio,13.206,22.988,9.848,9.428,13.916,BIIB
Price to free cash flows ratio,35.261,10.694,10.712,8.662,11.630,BIIB
Price to operating cash flows ratio,29.066,9.828,9.314,7.843,9.965,BIIB
Price cash flow ratio,29.066,9.828,9.314,7.843,9.965,BIIB
Price earnings to growth ratio,0.131,-0.396,-0.469,0.207,0.171,BIIB
Price sales ratio,3.955,3.257,2.930,3.861,4.583,BIIB
Dividend yield,0,0,0,0,0,BIIB
Enterprise value multiple,16.169,11.244,9.547,7.843,9.383,BIIB
Price fair value,3.005,3.264,3.687,4.162,4.729,BIIB
