,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),BLK,17873.0,17873.0,19374.0,16205.0,14539.0
Cost of revenue(figures in $M),BLK,9086.0,9086.0,9556.0,7939.0,7133.0
Gross profit(figures in $M),BLK,8787.0,8787.0,9818.0,8266.0,7406.0
Selling general and administrative(figures in $M),BLK,2147.0,2147.0,2183.0,1847.0,1674.0
Total operating expenses(figures in $M),BLK,2298.0,2298.0,2330.0,1953.0,1771.0
Operating income or loss(figures in $M),BLK,6489.0,6489.0,7488.0,6313.0,5635.0
Interest expense(figures in $M),BLK,212.0,212.0,205.0,205.0,203.0
Total other income/expenses net(figures in $M),BLK,-139.0,-139.0,803.0,354.0,258.0
Income before tax(figures in $M),BLK,6290.0,6290.0,8173.0,6524.0,5787.0
Income tax expense(figures in $M),BLK,1296.0,1296.0,1968.0,1238.0,1261.0
Income from continuing operations(figures in $M),BLK,4994.0,4994.0,6205.0,5286.0,4526.0
Net income(figures in $M),BLK,5178.0,5178.0,5901.0,4932.0,4476.0
Net income available to common shareholders(figures in $M),BLK,5178.0,5178.0,5901.0,4932.0,4476.0
Basic EPS(figures in $M),BLK,,3.431e-05,3.8759999999999995e-05,3.2130000000000006e-05,2.8579999999999997e-05
Diluted EPS(figures in $M),BLK,,3.397e-05,3.8219999999999997e-05,3.185e-05,2.832e-05
Basic average shares(figures in $M),BLK,,150.921,152.236,153.489,156.641
Diluted average shares(figures in $M),BLK,,152.44,154.404,154.841,158.092
EBITDA(figures in $M),BLK,,6653.0,8525.0,6835.0,6087.0
