,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),BMY,9123.0,13979.0,14546.0,12346.0
Other short-term investments(figures in $M),BMY,130.0,3242.0,1285.0,3047.0
Total cash(figures in $M),BMY,9123.0,13979.0,14546.0,12346.0
Net receivables(figures in $M),BMY,8151.0,7979.0,7219.0,6476.0
Inventory(figures in $M),BMY,2339.0,2095.0,2074.0,4293.0
Other current assets(figures in $M),BMY,1596.0,1290.0,1368.0,1983.0
Total current assets(figures in $M),BMY,27273.0,33262.0,30192.0,29354.0
"Gross property, plant and equipment(figures in $M)",BMY,11639.0,11001.0,10330.0,10207.0
Accumulated depreciation(figures in $M),BMY,-4164.0,-4033.0,-3585.0,-3955.0
"Net property, plant and equipment(figures in $M)",BMY,7475.0,6968.0,6745.0,6252.0
Equity and other investments(figures in $M),BMY,2187.0,2713.0,4509.0,767.0
Goodwill(figures in $M),BMY,21149.0,20502.0,20547.0,22488.0
Intangible assets(figures in $M),BMY,36355.0,42775.0,53243.0,63969.0
Other long-term assets(figures in $M),BMY,752.0,1338.0,1876.0,6604.0
Total non-current assets(figures in $M),BMY,69547.0,76052.0,88289.0,100590.0
Total assets(figures in $M),BMY,96820.0,109314.0,118481.0,129944.0
Current debt(figures in $M),BMY,4264.0,4948.0,2340.0,3346.0
Accounts payable(figures in $M),BMY,3040.0,2949.0,2713.0,2445.0
Taxes payable(figures in $M),BMY,942.0,754.0,647.0,1517.0
Accrued liabilities(figures in $M),BMY,321.0,378.0,434.0,493.0
Other current liabilities(figures in $M),BMY,10566.0,10109.0,10241.0,7888.0
Total current liabilities(figures in $M),BMY,21890.0,21868.0,19080.0,18304.0
Long-term debt(figures in $M),BMY,35056.0,39605.0,48336.0,43387.0
Deferred tax liabilities(figures in $M),BMY,2166.0,4501.0,5407.0,6454.0
Deferred revenues(figures in $M),BMY,283.0,326.0,357.0,424.0
Other long-term liabilities(figures in $M),BMY,303.0,218.0,326.0,2625.0
Total non-current liabilities(figures in $M),BMY,43812.0,51440.0,61519.0,59942.0
Total liabilities(figures in $M),BMY,65702.0,73308.0,80599.0,78246.0
Common stock(figures in $M),BMY,292.0,292.0,292.0,292.0
Retained earnings(figures in $M),BMY,25503.0,23820.0,21281.0,34474.0
Accumulated other comprehensive income(figures in $M),BMY,-1281.0,-1268.0,-1839.0,-1520.0
Total stockholders' equity(figures in $M),BMY,31061.0,35946.0,37822.0,51598.0
Total liabilities and stockholders' equity(figures in $M),BMY,96820.0,109314.0,118481.0,129944.0
