,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),BWA,1338.0,1841.0,1650.0,832.0
Total cash(figures in $M),BWA,1338.0,1841.0,1650.0,832.0
Net receivables(figures in $M),BWA,3323.0,2898.0,2919.0,1921.0
Inventory(figures in $M),BWA,1687.0,1534.0,1286.0,807.0
Other current assets(figures in $M),BWA,269.0,132.0,115.0,98.0
Total current assets(figures in $M),BWA,6617.0,6597.0,6167.0,3836.0
"Gross property, plant and equipment(figures in $M)",BWA,8468.0,6802.0,6727.0,4523.0
Accumulated depreciation(figures in $M),BWA,-3904.0,-2222.0,-1925.0,-1513.0
"Net property, plant and equipment(figures in $M)",BWA,4365.0,4395.0,4591.0,2925.0
Equity and other investments(figures in $M),BWA,809.0,428.0,769.0,316.0
Goodwill(figures in $M),BWA,3397.0,3279.0,2627.0,1842.0
Intangible assets(figures in $M),BWA,1051.0,1091.0,1096.0,402.0
Other long-term assets(figures in $M),BWA,6012.0,5583.0,5276.0,2941.0
Total non-current assets(figures in $M),BWA,10377.0,9978.0,9867.0,5866.0
Total assets(figures in $M),BWA,16994.0,16575.0,16034.0,9702.0
Current debt(figures in $M),BWA,62.0,66.0,49.0,286.0
Accounts payable(figures in $M),BWA,2684.0,2276.0,2352.0,1977.0
Taxes payable(figures in $M),BWA,142.0,105.0,102.0,66.0
Accrued liabilities(figures in $M),BWA,464.0,399.0,360.0,248.0
Deferred revenues(figures in $M),BWA,218.0,241.0,220.0,0.0
Other current liabilities(figures in $M),BWA,1490.0,1456.0,1409.0,0.0
Total current liabilities(figures in $M),BWA,4236.0,3798.0,3810.0,2329.0
Long-term debt(figures in $M),BWA,4166.0,4261.0,3738.0,1674.0
Deferred tax liabilities(figures in $M),BWA,194.0,206.0,276.0,125.0
Deferred revenues(figures in $M),BWA,66.0,68.0,55.0,49.0
Other long-term liabilities(figures in $M),BWA,1084.0,1254.0,1733.0,855.0
Total non-current liabilities(figures in $M),BWA,5250.0,5515.0,5471.0,2529.0
Total liabilities(figures in $M),BWA,9486.0,9313.0,9281.0,4858.0
Common stock(figures in $M),BWA,3.0,3.0,3.0,3.0
Retained earnings(figures in $M),BWA,7454.0,6671.0,6296.0,5942.0
Accumulated other comprehensive income(figures in $M),BWA,-876.0,-551.0,-651.0,-727.0
Total stockholders' equity(figures in $M),BWA,7224.0,6948.0,6457.0,4706.0
Total liabilities and stockholders' equity(figures in $M),BWA,16994.0,16575.0,16034.0,9702.0
