,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),BXP,690.333,452.692,1668.742,644.95
Total cash(figures in $M),BXP,690.333,452.692,1668.742,644.95
Net receivables(figures in $M),BXP,81.389,60.513,77.411,112.807
Total current assets(figures in $M),BXP,2186.168,1876.393,3015.523,1939.401
Equity and other investments(figures in $M),BXP,1748.188,1526.629,1349.935,992.394
Other long-term assets(figures in $M),BXP,43.589,57.811,33.84,41.685
Total non-current assets(figures in $M),BXP,22021.501,20479.192,19842.667,19345.504
Total assets(figures in $M),BXP,24207.669,22355.585,22858.19,21284.905
Current debt(figures in $M),BXP,0.0,145.0,0.0,0.0
Accounts payable(figures in $M),BXP,417.545,312.125,336.264,377.553
Accrued liabilities(figures in $M),BXP,103.774,94.796,106.288,90.016
Total current liabilities(figures in $M),BXP,691.962,721.78,613.634,638.282
Long-term debt(figures in $M),BXP,14240.336,12751.609,13047.758,11811.806
Other long-term liabilities(figures in $M),BXP,450.918,390.418,412.084,387.994
Total non-current liabilities(figures in $M),BXP,15145.275,13591.009,13898.047,12624.022
Total liabilities(figures in $M),BXP,15837.237,14312.789,14511.681,13262.304
Common stock(figures in $M),BXP,1.568,1.565,201.557,201.548
Retained earnings(figures in $M),BXP,-391.356,-625.911,-509.653,-760.523
Accumulated other comprehensive income(figures in $M),BXP,-13.718,-36.662,-49.89,-48.335
Total stockholders' equity(figures in $M),BXP,6132.919,5834.02,5996.083,5684.687
Total liabilities and stockholders' equity(figures in $M),BXP,24207.669,22355.585,22858.19,21284.905
