,2018,2017,2016,2015,2014,ticker
Current ratio,1.327,1.242,1.230,1.357,1.162,CA
Quick ratio,1.264,1.176,1.188,1.176,1.033,CA
Cash ratio,1.025,0.922,0.972,0.954,0.829,CA
Days of sales outstanding,68.346,69.093,56.677,55.838,64.673,CA
Days of inventory outstanding,0,0,0,0,0,CA
Operating cycle,68.346,69.093,56.677,55.838,64.673,CA
Days of payables outstanding,51.708,57.967,48.208,60.354,71.776,CA
Cash conversion cycle,16.638,11.126,8.469,-4.517,-7.103,CA
Gross profit margin,0.858,0.858,0.855,0.851,0.855,CA
Operating profit margin,0.264,0.281,0.282,0.273,0.242,CA
Pretax profit margin,0.241,0.266,0.269,0.262,0.230,CA
Net profit margin,0.112,0.192,0.195,0.198,0.202,CA
Effective tax rate,0.534,0.278,0.291,0.274,0.135,CA
Return on assets,0.036,0.061,0.070,0.077,0.076,CA
Return on equity,0.081,0.136,0.146,0.150,0.164,CA
Return on capital employed,0.115,0.118,0.137,0.145,0.135,CA
Net income per EBT,0.466,0.722,0.722,0.759,0.880,CA
Ebt per ebit,0.912,0.945,0.955,0.960,0.951,CA
Ebit per revenue,0.264,0.281,0.282,0.273,0.242,CA
Debt ratio,0.549,0.549,0.520,0.488,0.536,CA
Debt equity ratio,0.472,0.491,0.363,0.225,0.317,CA
Long term debt to capitalization,0.299,0.328,0.266,0.182,0.184,CA
Total debt to capitalization,0.321,0.329,0.266,0.183,0.241,CA
Interest coverage,11.418,18.306,22.255,24.723,20.241,CA
Cash flow to debt ratio,0.430,0.372,0.523,0.778,0.574,CA
Company equity multiplier,2.215,2.217,2.083,1.952,2.157,CA
Receivables turnover,5.340,5.283,6.440,6.537,5.644,CA
Payables turnover,7.059,6.297,7.571,6.048,5.085,CA
Inventory turnover,0,0,0,0,0,CA
Fixed asset turnover,17.869,17.030,16.632,16.913,15.305,CA
Asset turnover,0.324,0.320,0.359,0.388,0.376,CA
Operating cash flow per share,2.894,2.510,2.399,2.237,2.271,CA
Free cash flow per share,2.778,2.396,2.286,2.116,2.036,CA
Cash per share,8.225,6.693,6.601,6.387,7.291,CA
Payout ratio,0.899,0.552,0.548,0.525,0.496,CA
Operating cash flow sales ratio,0.283,0.257,0.254,0.230,0.224,CA
Free cash flow operating cash flow ratio,0.960,0.955,0.953,0.946,0.896,CA
Cash flow coverage ratios,0.430,0.372,0.523,0.778,0.574,CA
Short term coverage ratios,4.454,57.722,170.333,98.200,1.971,CA
Capital expenditure coverage ratio,-24.958,-22.106,-21.292,-18.528,-9.648,CA
Dividend paid and capex coverage ratio,3.153,2.727,2.682,2.512,2.911,CA
Dividend payout ratio,0.899,0.552,0.548,0.525,0.496,CA
Price book value ratio,2.381,2.308,2.439,2.545,2.481,CA
Price to book ratio,2.381,2.308,2.439,2.545,2.481,CA
Price to sales ratio,3.314,3.254,3.259,3.359,3.060,CA
Price earnings ratio,29.484,16.945,16.752,16.922,15.117,CA
Price to free cash flows ratio,12.204,13.238,13.467,15.410,15.217,CA
Price to operating cash flows ratio,11.715,12.639,12.834,14.578,13.640,CA
Price cash flow ratio,11.715,12.639,12.834,14.578,13.640,CA
Price earnings to growth ratio,-0.768,10.280,-3.555,-2.863,-7.823,CA
Price sales ratio,3.314,3.254,3.259,3.359,3.060,CA
Dividend yield,0.030,0.033,0.033,0.031,0.033,CA
Enterprise value multiple,8.960,9.039,8.112,7.984,8.033,CA
Price fair value,2.381,2.308,2.439,2.545,2.481,CA
