,ticker,sentiment
2023-04-05 04:38:46,CB,0.802
2023-04-07 03:14:58,CB,0.6369
2023-04-10 01:11:00,CB,-0.128
2023-04-13 00:19:00,CB,-0.128
2023-04-17 00:42:07,CB,0.4404
2023-04-18 02:08:00,CB,0.2023
2023-04-18 06:50:01,CB,0.5719
2023-04-18 07:01:02,CB,0.3818
2023-04-18 10:09:05,CB,0.25
2023-04-19 02:55:00,CB,-0.3182
2023-04-20 09:17:04,CB,0.0516
2023-04-21 15:57:00,CB,0.659
2023-04-24 05:30:12,CB,0.2732
2023-04-24 19:34:00,CB,0.296
2023-04-24 20:20:00,CB,-0.2263
2023-04-24 20:21:00,CB,0.4404
2023-04-24 22:06:00,CB,0.25
2023-04-24 22:38:15,CB,0.3818
2023-04-25 13:15:00,CB,0.5267
2023-04-25 14:55:09,CB,0.5106
2023-04-25 23:10:00,CB,0.2023
2023-04-25 23:35:00,CB,0.296
2023-04-26 05:24:10,CB,-0.2263
2023-04-26 05:31:00,CB,0.2023
2023-04-26 18:58:07,CB,0.296
2023-04-27 00:15:00,CB,0.3612
2023-04-27 01:50:00,CB,0.4215
2023-04-27 04:53:54,CB,-0.3612
2023-04-29 04:00:35,CB,-0.4215
2023-05-01 15:46:15,CB,0.25
2023-05-02 05:50:12,CB,-0.34
2023-05-02 09:43:00,CB,0.3089
2023-05-03 01:45:59,CB,-0.2263
2023-05-03 06:15:01,CB,-0.1531
2023-05-04 05:00:23,CB,-0.5023
