,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CCL,"21,056","23,326","24,433","24,461","26,649"
Dividend,CCL,0.00,0.06,0.04,0.26,0.00
Dividend Yield (in %),CCL,0.27 %,0.55 %,1.89 %,2.59 %,-
EPS,CCL,-0.28,0.79,1.12,1.28,3.36
P/E Ratio,CCL,-33.01,11.96,8.42,7.32,2.80
EBIT(In $M),CCL,"1,656","2,940","3,304","3,542","6,089"
EBITDA(In $M),CCL,"4,054","5,429","5,850","6,159","7,988"
Net Profit(In $M),CCL,-388,998,"1,458","1,616","4,229"
Net Profit Adjusted(In $M),CCL,-387,993,"1,448","1,616","4,229"
Pre-Tax Profit(In $M),CCL,-369,998,"1,470","1,649","4,229"
Net Profit (Adjusted)(In $M),CCL,-334,"1,138","1,565",-,-
EPS (Non-GAAP) ex. SOE(In $),CCL,-0.28,0.79,1.12,1.28,3.36
EPS (GAAP)(In $),CCL,-0.26,0.78,1.09,2.83,3.36
Gross Income(In $M),CCL,"6,590","8,721","9,436",-,-
Cash Flow from Investing(In $M),CCL,"-2,434","-3,456","-2,600",-,-
Cash Flow from Operations(In $M),CCL,"3,249","3,583","4,131","5,824","6,578"
Cash Flow from Financing(In $M),CCL,-343,"-1,034","-3,688",-,-
Cash Flow per Share(In $),CCL,1.70,3.15,3.44,-,-
Free Cash Flow(In $M),CCL,367,493,"1,741","2,469","4,578"
Free Cash Flow per Share(In $),CCL,-,-,1.34,-,-
Book Value per Share(In $),CCL,5.28,5.87,6.66,-,-
Net Debt(In $M),CCL,"29,484","29,630","28,275","27,551","18,933"
Research & Development Exp.(In $M),CCL,-,-,-,-,-
Capital Expenditure(In $M),CCL,"3,064","3,483","2,638","1,974","2,000"
"Selling, General & Admin. Exp.(In $M)",CCL,"2,882","2,993","3,150","2,660","2,660"
Shareholder’s Equity(In $M),CCL,"6,655","7,598","9,156","14,193","17,352"
Total Assets(In $M),CCL,"51,420","51,570","50,479","62,173","65,682"
