,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),CF,2323.0,1628.0,683.0,287.0
Total cash(figures in $M),CF,2323.0,1628.0,683.0,287.0
Net receivables(figures in $M),CF,582.0,497.0,265.0,242.0
Inventory(figures in $M),CF,474.0,408.0,287.0,351.0
Other current assets(figures in $M),CF,79.0,56.0,35.0,23.0
Total current assets(figures in $M),CF,3673.0,2593.0,1367.0,974.0
"Gross property, plant and equipment(figures in $M)",CF,6691.0,7324.0,7891.0,8450.0
Accumulated depreciation(figures in $M),CF,-7426.0,-6807.0,-6145.0,-5365.0
"Net property, plant and equipment(figures in $M)",CF,6691.0,7324.0,7891.0,8450.0
Equity and other investments(figures in $M),CF,74.0,82.0,80.0,88.0
Goodwill(figures in $M),CF,2089.0,2091.0,2374.0,2365.0
Intangible assets(figures in $M),CF,15.0,45.0,104.0,110.0
Other long-term assets(figures in $M),CF,786.0,285.0,311.0,295.0
Total non-current assets(figures in $M),CF,9640.0,9782.0,10656.0,11198.0
Total assets(figures in $M),CF,13313.0,12375.0,12023.0,12172.0
Current debt(figures in $M),CF,0.0,0.0,249.0,0.0
Accounts payable(figures in $M),CF,575.0,565.0,424.0,437.0
Taxes payable(figures in $M),CF,3.0,24.0,0.0,1.0
Accrued liabilities(figures in $M),CF,512.0,455.0,339.0,359.0
Deferred revenues(figures in $M),CF,229.0,700.0,130.0,119.0
Other current liabilities(figures in $M),CF,95.0,54.0,15.0,18.0
Total current liabilities(figures in $M),CF,995.0,1432.0,906.0,665.0
Long-term debt(figures in $M),CF,2965.0,3465.0,3712.0,3957.0
Deferred tax liabilities(figures in $M),CF,958.0,1009.0,1184.0,1246.0
Other long-term liabilities(figures in $M),CF,375.0,271.0,444.0,474.0
Total non-current liabilities(figures in $M),CF,4465.0,4907.0,5514.0,5870.0
Total liabilities(figures in $M),CF,5460.0,6339.0,6420.0,6535.0
Common stock(figures in $M),CF,2.0,2.0,2.0,2.0
Retained earnings(figures in $M),CF,3867.0,2088.0,1927.0,1958.0
Accumulated other comprehensive income(figures in $M),CF,-230.0,-257.0,-320.0,-366.0
Total stockholders' equity(figures in $M),CF,5051.0,3206.0,2922.0,2897.0
Total liabilities and stockholders' equity(figures in $M),CF,13313.0,12375.0,12023.0,12172.0
