,headline,final_score,datetime
0,"Is Trending Stock CF Industries Holdings, Inc. (CF) a Buy Now?",90,2023-05-05 06:00:01
1,CF Industries Holdings (CF) Declares $0.40 Dividend,86,2023-05-04 17:58:45
2,BMO Capital Maintains CF Industries Holdings (CF) Outperform Recommendation,86,2023-05-04 01:35:29
3,"CF Industries Holdings Inc. stock falls Thursday, underperforms market",86,2023-05-03 20:45:00
4,"CF Industries Holdings, Inc. Declares Quarterly Dividend",90,2023-05-03 13:30:00
5,CF Industries Holdings Inc. stock outperforms market despite losses on the day,86,2023-05-03 09:44:00
6,Why I Believe That CF Industries Is 50% Undervalued,86,2023-05-03 08:26:54
7,RBC Capital Reiterates CF Industries Holdings (CF) Outperform Recommendation,86,2023-05-03 08:06:49
8,"Analysts` Opinions Are Mixed on These Materials Stocks: CF Holdings (CF), Clearwater Paper (CLW) and Amcor (AMCR)",86,2023-05-03 04:31:00
9,CF Industries price target lowered to $105 from $115 at BMO Capital,86,2023-05-03 02:01:00
10,Q1 2023 CF Industries Holdings Inc Earnings Call,86,2023-05-02 23:25:34
11,"Analysts Are Bullish on These Materials Stocks: CF Holdings (CF), OceanaGold (OCANF)",86,2023-05-02 23:20:00
12,CF Industries price target raised to $100 from $96 at BofA,86,2023-05-02 22:58:00
13,Bank of America Securities Reaffirms Their Buy Rating on CF Holdings (CF),86,2023-05-02 22:25:00
14,CF Industries declares $0.40 dividend,64,2023-05-02 21:46:00
15,"CF Industries Holdings, Inc. to Participate in Upcoming Investor Conference",90,2023-05-02 13:30:00
16,"CF Industries Holdings Inc. stock rises Tuesday, outperforms market",86,2023-05-02 09:43:00
17,CF Industries Holdings Inc. (CF) Q1 2023 Earnings Call Transcript,86,2023-05-02 08:53:10
18,CF Industries (CF) Earnings and Sales Surpass Estimates in Q1,86,2023-05-02 08:31:03
19,"CF Industries Holdings, Inc. (NYSE:CF) Shares Could Be 21% Below Their Intrinsic Value Estimate",90,2023-05-02 08:16:17
21,CF Industries price target lowered to $70 from $75 at Credit Suisse,86,2023-05-01 22:38:00
22,CF Industries (CF) Tops Q1 Earnings and Revenue Estimates,86,2023-05-01 15:05:10
23,CF Industries Says Two Years Needed to Replenish Grain Stocks Globally -- Commodity Comment,86,2023-05-01 10:47:00
24,CF: Q1 Earnings Snapshot,60,2023-05-01 10:00:00
25,"CF Industries Holdings Inc. stock rises Monday, outperforms market",86,2023-05-01 09:43:00
26,"CF Industries Holdings, Inc. Reports First Quarter 2023 Net Earnings of $560 Million, Adjusted EBITDA of $866 Million",90,2023-05-01 09:30:00
27,Is CF Industries Ready to Stage a Rally?,64,2023-05-01 06:50:00
30,"CF Industries GAAP EPS of $2.85 beats by $0.40, revenue of $2.01B beats by $150M",86,2023-04-30 20:47:00
31,"CF Industries reports Q1 EPS $2.85, consensus $2.51",86,2023-04-30 20:31:00
32,"Noteworthy Monday Option Activity: CF, SPT, TER",86,2023-04-30 19:28:00
33,CF Industries options imply 4.0% move in share price post-earnings,86,2023-04-30 18:19:00
36,"CF Industries Holdings Inc. stock rises Friday, outperforms market",86,2023-04-28 09:43:00
37,CF Industries price target lowered to $83 from $101 at Mizuho,86,2023-04-27 23:00:00
38,CF Industries Q1 2023 Earnings Preview,64,2023-04-27 21:38:00
39,CF Industries (CF) Stock Sinks As Market Gains: What You Should Know,86,2023-04-27 14:50:09
41,CF Industries (CF) Dips More Than Broader Markets: What You Should Know,86,2023-04-26 15:00:10
42,"CF Industries Holdings Inc. stock falls Wednesday, underperforms market",86,2023-04-26 09:43:00
43,CF Industries (CF) to Report Q1 Earnings: What's in Store?,86,2023-04-26 04:43:11
44,"CF Industries Holdings Inc. stock falls Tuesday, underperforms market",86,2023-04-25 09:43:00
47,CF Industries and NextEra Energy Resources Announce a Memorandum of Understanding for a Green Hydrogen Project in Oklahoma to Support Decarbonization of the Agriculture Supply Chain,86,2023-04-24 15:00:00
48,"CF Industries, NextEra Energy Resources in MoU for Green Hydrogen",86,2023-04-24 11:40:00
49,Analysts Estimate CF Industries (CF) to Report a Decline in Earnings: What to Look Out for,86,2023-04-24 07:00:02
50,"CF Industries, NextEra in MoU for Oklahoma green hydrogen project",86,2023-04-23 22:27:00
51,"CF Industries, NextEra Energy announce MOU for green hydrogen project",86,2023-04-23 22:03:00
53,"CF Industries Holdings Inc. stock falls Friday, underperforms market",86,2023-04-21 09:44:00
54,"CF Industries Holdings Inc. stock rises Thursday, outperforms market",86,2023-04-20 09:44:00
55,Goldman Sachs Maintains CF Industries Holdings (CF) Buy Recommendation,86,2023-04-19 11:30:15
56,Wells Fargo Maintains CF Industries Holdings (CF) Overweight Recommendation,86,2023-04-17 16:56:30
57,"Analysts Conflicted on These Materials Names: Codexis (CDXS), CF Holdings (CF) and Eastman Chemical (EMN)",86,2023-04-17 00:31:00
58,Barclays Maintains CF Industries Holdings (CF) Overweight Recommendation,86,2023-04-14 16:37:43
60,CF Industries price target lowered to $105 from $115 at Barclays,86,2023-04-13 20:48:00
61,Analysts Offer Insights on Materials Companies: CF Holdings (CF) and Hudbay Minerals (HBM),86,2023-04-13 20:31:00
62,RBC Capital Maintains CF Industries Holdings (CF) Outperform Recommendation,86,2023-04-13 17:21:00
63,CF Industries price target lowered to $110 from $125 at RBC Capital,86,2023-04-12 23:06:00
65,CF Industries Announces Date for First Quarter 2023 Financial Results and Conference Call and Planned Dates for Second and Third Quarter 2023 Financial Results and Conference Calls,86,2023-04-12 13:30:00
66,Analyst Favorites With Strong Buyback Activity: CF Industries Holdings Ranks As a Top Pick,86,2023-04-11 19:15:00
67,CANACCORD GENUITY GROUP INC. RECEIVES EXEMPTIVE RELIEF FROM SECURITIES COMMISSIONS,86,2023-04-11 18:13:00
69,Scotiabank Upgrades CF Industries Holdings (CF),86,2023-04-10 22:00:08
71,"Nutrien, CF Industries Jump after Catching Upgrades from Analyst",86,2023-04-10 03:54:00
73,CF upgraded to Outperform on limited downside at Scotiabank,86,2023-04-10 00:03:00
74,CF Industries upgraded to Outperform from Sector Perform at Scotiabank,86,2023-04-09 23:54:00
75,Investing in CF Industries Holdings (NYSE:CF) three years ago would have delivered you a 148% gain,86,2023-04-09 06:07:04
76,"CF Industries Holdings Inc. stock rises Wednesday, outperforms market",86,2023-04-05 09:43:00
78,CF Industries (CF) Gains But Lags Market: What You Should Know,86,2023-03-31 14:50:09
79,"CF Industries Holdings Inc. stock rises Friday, still underperforms market",86,2023-03-31 09:43:00
80,"Is Most-Watched Stock CF Industries Holdings, Inc. (CF) Worth Betting on Now?",90,2023-03-31 06:00:01
82,CF Industries: Low-Cost Nitrogen Producer Benefits From Cheap Gas Prices,86,2023-03-27 02:41:10
83,CF Industries Publishes 2022 Sustainability and Annual Reports,86,2023-03-23 13:30:00
84,Unusual Call Option Trade in CF Industries Holdings (CF)  Worth $297.50K,86,2023-03-23 13:20:55
85,Asure Software and CF Industries have been highlighted as Zacks Bull and Bear of the Day,86,2023-03-23 04:28:11
86,Bear of the Day: CF Industries (CF),64,2023-03-23 03:00:10
88,CF Industries (CF) to Buy Waggaman Ammonia Production Facility,86,2023-03-21 03:52:10
89,CF Industries Holdings: A Great Value Play In A Growing Industry,86,2023-03-21 03:14:48
90,"CF Industries paid `decent price` for Waggaman plant, says BofA",86,2023-03-20 23:52:00
91,CF Holdings (CF) Gets a Hold from Morgan Stanley,86,2023-03-20 21:35:00
