,ticker,sentiment
2023-04-04 17:18:19,CHK,0.2023
2023-04-05 15:00:10,CHK,0.5423
2023-04-05 22:40:00,CHK,0.2023
2023-04-06 07:00:18,CHK,0.3818
2023-04-06 15:39:40,CHK,0.2023
2023-04-09 06:50:29,CHK,0.5106
2023-04-09 21:44:00,CHK,0.3612
2023-04-09 23:45:00,CHK,0.5106
2023-04-10 00:20:00,CHK,0.7351
2023-04-10 19:25:00,CHK,-0.0258
2023-04-11 23:50:00,CHK,-0.128
2023-04-12 14:14:22,CHK,0.2808
2023-04-13 04:14:00,CHK,0.8074
2023-04-13 05:03:00,CHK,0.7351
2023-04-13 22:13:00,CHK,0.128
2023-04-14 05:36:00,CHK,0.4404
2023-04-14 14:18:00,CHK,0.4767
2023-04-17 00:53:00,CHK,0.7184
2023-04-17 05:37:12,CHK,0.3818
2023-04-21 10:43:11,CHK,0.2023
2023-04-23 22:18:00,CHK,0.4404
2023-04-23 23:13:00,CHK,0.3818
2023-04-24 02:16:00,CHK,0.2023
2023-04-24 03:14:29,CHK,0.4019
2023-04-24 15:01:22,CHK,0.5106
2023-04-25 05:58:19,CHK,0.6369
2023-04-25 13:05:00,CHK,0.4278
2023-04-25 15:11:19,CHK,0.2732
2023-04-26 07:01:02,CHK,0.2732
2023-04-30 18:41:00,CHK,0.2732
2023-04-30 22:00:00,CHK,0.3612
2023-05-01 20:12:00,CHK,0.2732
2023-05-02 09:40:00,CHK,0.2732
2023-05-02 13:05:00,CHK,0.4278
2023-05-02 13:22:44,CHK,0.7579
2023-05-02 14:45:09,CHK,0.6597
2023-05-02 22:56:00,CHK,0.2732
2023-05-03 03:01:00,CHK,0.3612
2023-05-03 05:36:07,CHK,0.2732
2023-05-03 05:45:00,CHK,0.2732
2023-05-03 06:32:20,CHK,0.5574
2023-05-03 07:09:09,CHK,0.5574
2023-05-03 20:24:54,CHK,0.2732
2023-05-03 21:20:49,CHK,0.2732
2023-05-04 16:15:27,CHK,0.2732
