,2022,2021,2020,2019,2018,ticker
Current ratio,1.080,1.444,1.599,1.697,1.921,CHRW
Quick ratio,0.966,1.405,1.571,1.642,1.884,CHRW
Cash ratio,0.065,0.077,0.133,0.288,0.264,CHRW
Days of sales outstanding,44.216,69.788,59.607,50.240,50.962,CHRW
Days of inventory outstanding,0,0,0,0,0,CHRW
Operating cycle,44.216,69.788,59.607,50.240,50.962,CHRW
Days of payables outstanding,24.609,30.796,31.150,27.667,23.211,CHRW
Cash conversion cycle,19.607,38.992,28.457,22.573,27.751,CHRW
Gross profit margin,0.119,0.070,0.072,0.084,0.082,CHRW
Operating profit margin,0.051,0.047,0.042,0.052,0.055,CHRW
Pretax profit margin,0.047,0.044,0.039,0.048,0.053,CHRW
Net profit margin,0.038,0.037,0.031,0.038,0.040,CHRW
Effective tax rate,0.194,0.174,0.194,0.223,0.245,CHRW
Return on assets,0.158,0.120,0.098,0.124,0.150,CHRW
Return on equity,0.695,0.418,0.269,0.345,0.417,CHRW
Return on capital employed,0.481,0.292,0.204,0.256,0.305,CHRW
Net income per EBT,0.806,0.826,0.806,0.777,0.755,CHRW
Ebt per ebit,0.921,0.945,0.933,0.940,0.965,CHRW
Ebit per revenue,0.051,0.047,0.042,0.052,0.055,CHRW
Debt ratio,0.773,0.712,0.635,0.640,0.640,CHRW
Debt equity ratio,1.745,1.101,0.760,0.931,0.844,CHRW
Long term debt to capitalization,0.477,0.447,0.420,0.447,0.457,CHRW
Total debt to capitalization,0.636,0.524,0.432,0.482,0.458,CHRW
Interest coverage,12.666,18.090,14.982,16.555,28.673,CHRW
Cash flow to debt ratio,0.699,0.043,0.350,0.537,0.589,CHRW
Company equity multiplier,4.400,3.476,2.736,2.778,2.776,CHRW
Receivables turnover,8.255,5.230,6.123,7.265,7.162,CHRW
Payables turnover,14.832,11.852,11.717,13.193,15.725,CHRW
Inventory turnover,0,0,0,0,0,CHRW
Fixed asset turnover,46.460,53.429,32.496,29.482,72.848,CHRW
Asset turnover,4.148,3.287,3.151,3.299,3.756,CHRW
Operating cash flow per share,13.123,0.717,3.683,6.100,5.704,CHRW
Free cash flow per share,12.631,0.181,3.285,5.585,5.244,CHRW
Cash per share,1.730,1.943,1.799,3.270,2.724,CHRW
Payout ratio,0.303,0.328,0.415,0.481,0.399,CHRW
Operating cash flow sales ratio,0.067,0.004,0.031,0.055,0.048,CHRW
Free cash flow operating cash flow ratio,0.962,0.253,0.892,0.916,0.919,CHRW
Cash flow coverage ratios,0.699,0.043,0.350,0.537,0.589,CHRW
Short term coverage ratios,1.464,0.161,7.544,4.092,158.579,CHRW
Capital expenditure coverage ratio,-26.652,-1.339,-9.243,-11.856,-12.414,CHRW
Dividend paid and capex coverage ratio,7.387,0.460,3.201,4.030,3.938,CHRW
Dividend payout ratio,0.303,0.328,0.415,0.481,0.399,CHRW
Price book value ratio,8.507,7.052,6.767,6.410,7.328,CHRW
Price to book ratio,8.507,7.052,6.767,6.410,7.328,CHRW
Price to sales ratio,0.466,0.617,0.785,0.700,0.703,CHRW
Price earnings ratio,12.241,16.890,25.122,18.562,17.591,CHRW
Price to free cash flows ratio,7.249,593.311,28.578,14.001,16.034,CHRW
Price to operating cash flows ratio,6.977,150.166,25.486,12.820,14.743,CHRW
Price cash flow ratio,6.977,150.166,25.486,12.820,14.743,CHRW
Price earnings to growth ratio,0.702,0.240,-2.250,-1.557,0.531,CHRW
Price sales ratio,0.466,0.617,0.785,0.700,0.703,CHRW
Dividend yield,0.025,0.019,0.017,0.026,0.023,CHRW
Enterprise value multiple,10.045,13.830,17.944,13.272,12.547,CHRW
Price fair value,8.507,7.052,6.767,6.410,7.328,CHRW
