,ticker,sentiment
2023-04-05 06:34:43,CHRW,-0.4404
2023-04-05 23:53:00,CHRW,0.2023
2023-04-06 06:40:01,CHRW,0.1531
2023-04-09 22:49:00,CHRW,-0.128
2023-04-11 09:44:00,CHRW,-0.2584
2023-04-11 23:01:00,CHRW,0.128
2023-04-12 23:26:05,CHRW,0.25
2023-04-14 09:40:51,CHRW,0.2382
2023-04-24 09:44:00,CHRW,-0.2584
2023-04-25 20:13:00,CHRW,-0.2263
2023-04-26 14:09:57,CHRW,-0.34
2023-04-26 14:25:09,CHRW,-0.2263
2023-04-27 01:46:00,CHRW,0.2023
2023-04-27 09:09:04,CHRW,-0.34
2023-04-28 04:26:00,CHRW,0.3818
2023-04-28 09:44:00,CHRW,-0.2584
2023-04-28 23:46:26,CHRW,0.3818
2023-05-01 09:44:00,CHRW,0.5106
2023-05-01 13:26:54,CHRW,0.2023
2023-05-03 09:44:00,CHRW,-0.2584
2023-05-04 09:44:00,CHRW,0.3089
