,ticker,sentiment
2021-03-15 05:48:12,CI,0.6249
2023-04-04 20:34:00,CI,-0.296
2023-04-04 21:04:00,CI,0.5106
2023-04-05 02:00:00,CI,0.2023
2023-04-05 09:39:06,CI,0.5106
2023-04-06 03:09:00,CI,-0.296
2023-04-06 06:21:48,CI,0.1139
2023-04-07 05:40:00,CI,0.2023
2023-04-08 02:30:00,CI,0.4404
2023-04-10 23:06:00,CI,0.2023
2023-04-11 01:03:00,CI,-0.4404
2023-04-12 21:09:00,CI,-0.4215
2023-04-13 20:31:00,CI,-0.4019
2023-04-14 09:44:00,CI,0.3089
2023-04-14 14:27:45,CI,0.2263
2023-04-17 17:35:15,CI,-0.3182
2023-04-19 06:00:00,CI,0.6597
2023-04-19 19:08:14,CI,0.7579
2023-04-20 04:00:00,CI,0.6705
2023-04-21 14:50:09,CI,0.34
2023-04-21 21:45:00,CI,0.34
2023-04-25 08:52:27,CI,0.6369
2023-04-25 22:10:00,CI,-0.128
2023-04-26 01:30:00,CI,-0.4588
2023-04-26 07:01:00,CI,0.5267
2023-04-27 14:50:09,CI,-0.3716
2023-04-28 09:44:00,CI,0.5106
2023-05-01 00:35:00,CI,-0.5267
2023-05-01 05:30:00,CI,0.2023
2023-05-01 09:44:00,CI,0.5106
2023-05-01 14:15:09,CI,0.2023
2023-05-01 22:22:00,CI,-0.128
2023-05-02 03:10:10,CI,0.25
2023-05-02 19:12:00,CI,0.296
2023-05-03 05:10:39,CI,-0.5719
2023-05-03 12:02:07,CI,0.3818
2023-05-04 08:45:03,CI,0.6249
2023-05-04 09:20:00,CI,0.4939
2023-05-04 22:15:00,CI,0.2023
2023-05-04 23:38:00,CI,0.4767
2023-05-05 03:00:00,CI,0.5106
2023-05-05 03:15:47,CI,0.1779
2023-05-05 04:03:00,CI,-0.296
