,2022,2021,2020,2019,2018,ticker
Current ratio,1.285,1.099,1.049,0.368,1.135,CL
Quick ratio,0.573,0.532,0.520,0.204,0.636,CL
Cash ratio,0.195,0.208,0.215,0.078,0.217,CL
Days of sales outstanding,30.554,27.174,28.010,33.493,32.874,CL
Days of inventory outstanding,98.071,87.650,94.615,80.245,72.272,CL
Operating cycle,128.625,114.824,122.625,113.738,105.146,CL
Days of payables outstanding,73.340,76.616,78.780,70.902,70.653,CL
Cash conversion cycle,55.284,38.208,43.846,42.835,34.493,CL
Gross profit margin,0.570,0.596,0.608,0.594,0.594,CL
Operating profit margin,0.241,0.257,0.236,0.226,0.238,CL
Pretax profit margin,0.148,0.177,0.221,0.210,0.223,CL
Net profit margin,0.099,0.124,0.164,0.151,0.154,CL
Effective tax rate,0.261,0.243,0.216,0.234,0.262,CL
Return on assets,0.113,0.144,0.169,0.157,0.197,CL
Return on equity,4.451,3.557,3.627,20.231,-23.529,CL
Return on capital employed,0.369,0.405,0.330,0.970,0.419,CL
Net income per EBT,0.671,0.702,0.739,0.717,0.693,CL
Ebt per ebit,0.614,0.690,0.939,0.929,0.938,CL
Ebit per revenue,0.241,0.257,0.236,0.226,0.238,CL
Debt ratio,0.949,0.935,0.931,0.963,0.984,CL
Debt equity ratio,22.192,12.205,10.774,133.940,-62.412,CL
Long term debt to capitalization,0.956,0.922,0.911,0.985,1.016,CL
Total debt to capitalization,0.957,0.924,0.915,0.993,1.016,CL
Interest coverage,25.958,23.302,21.230,18.510,19.140,CL
Cash flow to debt ratio,0.287,0.447,0.465,0.200,0.480,CL
Company equity multiplier,39.229,24.696,21.427,128.496,-119.225,CL
Receivables turnover,11.946,13.432,13.031,10.898,11.103,CL
Payables turnover,4.977,4.764,4.633,5.148,5.166,CL
Inventory turnover,3.722,4.164,3.858,4.549,5.050,CL
Fixed asset turnover,4.172,4.671,4.432,4.185,4.005,CL
Asset turnover,1.142,1.158,1.035,1.044,1.278,CL
Operating cash flow per share,3.025,3.935,4.341,3.647,3.510,CL
Free cash flow per share,2.201,3.264,3.862,3.257,3.009,CL
Cash per share,0.917,0.985,1.036,1.028,0.834,CL
Payout ratio,0.947,0.775,0.614,0.682,0.663,CL
Operating cash flow sales ratio,0.142,0.191,0.226,0.200,0.197,CL
Free cash flow operating cash flow ratio,0.728,0.829,0.890,0.893,0.857,CL
Cash flow coverage ratios,0.287,0.447,0.465,0.200,0.480,CL
Short term coverage ratios,19.218,17.686,9.205,0.399,254.667,CL
Capital expenditure coverage ratio,-3.672,-5.864,-9.071,-9.352,-7.009,CL
Dividend paid and capex coverage ratio,2.569,2.990,2.990,2.450,2.646,CL
Dividend payout ratio,0.947,0.775,0.614,0.682,0.663,CL
Price book value ratio,166.029,118.411,98.607,505.474,-508.021,CL
Price to book ratio,166.029,118.411,98.607,505.474,-508.021,CL
Price to sales ratio,3.706,4.139,4.448,3.769,3.334,CL
Price earnings ratio,37.298,33.293,27.186,24.985,21.591,CL
Price to free cash flows ratio,35.794,26.147,22.141,21.137,19.778,CL
Price to operating cash flows ratio,26.048,21.688,19.700,18.877,16.956,CL
Price cash flow ratio,26.048,21.688,19.700,18.877,16.956,CL
Price earnings to growth ratio,-2.221,-1.777,1.924,0,1.080,CL
Price sales ratio,3.706,4.139,4.448,3.769,3.334,CL
Dividend yield,0.025,0.023,0.023,0.027,0.031,CL
Enterprise value multiple,15.280,15.611,18.078,16.230,14.329,CL
Price fair value,166.029,118.411,98.607,505.474,-508.021,CL
