,headline,final_score,datetime
0,Colgate-Palmolive Co. stock outperforms market despite losses on the day,90,2023-05-04 09:32:00
1,"Colgate-Palmolive Co. stock rises Wednesday, outperforms market",90,2023-05-03 09:32:00
2,Colgate-Palmolive Co. stock outperforms market on strong trading day,90,2023-05-02 09:32:00
4,"The Zacks Analyst Blog Highlights PepsiCo, General Mills and Colgate-Palmolive",86,2023-05-02 05:39:12
5,Stifel Nicolaus Sticks to Its Hold Rating for Colgate-Palmolive (CL),86,2023-05-02 02:05:00
7,Colgate-Palmolive Stock Cleans Up Its Act; Key Rating Jumps,86,2023-05-01 11:38:00
8,Wells Fargo Maintains Colgate-Palmolive (CL) Equal-Weight Recommendation,86,2023-05-01 10:57:09
9,Evercore ISI Group Maintains Colgate-Palmolive (CL) Outperform Recommendation,86,2023-05-01 10:57:07
10,Goldman Sachs Maintains Colgate-Palmolive (CL) Buy Recommendation,86,2023-05-01 10:57:06
11,Morgan Stanley Maintains Colgate-Palmolive (CL) Overweight Recommendation,86,2023-05-01 10:57:05
12,RBC Capital Maintains Colgate-Palmolive (CL) Sector Perform Recommendation,86,2023-05-01 10:57:04
13,B of A Securities Maintains Colgate-Palmolive (CL) Neutral Recommendation,86,2023-05-01 10:57:04
14,Be Wary Of Colgate-Palmolive (NYSE:CL) And Its Returns On Capital,86,2023-05-01 07:00:22
15,"Colgate-Palmolive Webcasts 2023 Annual Meeting of Stockholders May 12, 2023 – 10:00 a.m. ET",86,2023-05-01 06:41:00
16,Citigroup Maintains Colgate-Palmolive (CL) Buy Recommendation,86,2023-05-01 03:31:29
17,Colgate-Palmolive price target raised to $88 from $80 at Deutsche Bank,86,2023-05-01 02:06:00
18,Colgate-Palmolive price target raised to $83 from $82 at RBC Capital,86,2023-05-01 01:33:00
20,Colgate-Palmolive price target raised to $91 from $85 at Evercore ISI,86,2023-05-01 00:14:00
21,Colgate-Palmolive price target raised to $85 from $80 at BofA,86,2023-04-30 23:49:00
22,Colgate-Palmolive stock is viewed favorably at Morgan Stanley,86,2023-04-30 23:07:00
23,Colgate-Palmolive price target raised to $81 from $76 at Wells Fargo,86,2023-04-30 22:43:00
24,"Analysts Offer Insights on Consumer Goods Companies: Colgate-Palmolive (CL), Oshkosh (OSK) and Ebay (EBAY)",86,2023-04-30 22:12:00
25,Raymond James Keeps Their Hold Rating on Colgate-Palmolive (CL),86,2023-04-30 22:05:00
26,Colgate-Palmolive price target raised to $92 from $88 at Citi,86,2023-04-30 21:46:00
27,Colgate-Palmolive: Positive Q1 But Operating Margin Remains Low,86,2023-04-29 22:16:54
29,Q1 2023 Colgate-Palmolive Co Earnings Call,90,2023-04-28 21:05:57
33,"Colgate (CL) Q1 Earnings & Sales Beat Estimates, View Up",86,2023-04-28 08:48:03
35,"Colgate-Palmolive Tops Q1 Expectations, Reveals Confidence In Growth Expectations Despite Uncertain Operating Environment",86,2023-04-28 07:59:55
36,Colgate-Palmolive stock rises on Q1 earnings beat,86,2023-04-28 07:28:54
37,Colgate-Palmolive raises annual organic sales forecast on price hikes,86,2023-04-28 05:31:19
39,Colgate-Palmolive (CL) Q1 Earnings and Revenues Surpass Estimates,86,2023-04-28 05:05:12
41,Colgate-Palmolive Company (CL) Q1 2023 Earnings Call Transcript,90,2023-04-28 04:20:05
42,Colgate Announces 1st Quarter 2023 Results,86,2023-04-28 03:55:00
43,Colgate-Palmolive`s stock pops after earnings beat as company raises prices by double-digit percentage,86,2023-04-28 03:06:00
44,Colgate-Palmolive Q1 Earnings And Revenues Surpass Estimates,86,2023-04-28 02:35:00
48,Colgate-Palmolive Rises on Q1 Showing,86,2023-04-28 00:45:00
49,Colgate-Palmolive’s stock pops after earnings beat as company raises prices by double-digit percentage,86,2023-04-28 00:07:00
50,Colgate-Palmolive: Q1 Earnings Snapshot,86,2023-04-28 00:00:00
51,Analysts Offer Insights on Consumer Goods Companies: Colgate-Palmolive (CL) and PUMA SE NPV (OtherPMMAF),86,2023-04-27 23:51:00
52,Colgate-Palmolive`s stock pops after earnings beat as company raises prices by double-digits,86,2023-04-27 23:35:00
54,Colgate-Palmolive pushes past Q1 estimates amid steady price increases,86,2023-04-27 23:11:00
55,Colgate-Palmolive`s stock gains premarket as earnings top estimates and company offers upbeat guidance,86,2023-04-27 23:08:00
56,Colgate-Palmolive reports Q1 base gross profit margin down 160 bps to 56.9%,86,2023-04-27 23:08:00
57,"Colgate-Palmolive Non-GAAP EPS of $0.73 beats by $0.03, revenue of $4.77B beats by $190M",86,2023-04-27 23:05:00
58,Colgate-Palmolive CEO: Our strategy to accelerate growth is working,86,2023-04-27 22:58:00
59,Colgate-Palmolive raises FY23 net sales growth view to 3%-6% from 2%-5%,86,2023-04-27 22:57:00
