,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CMA,3534.0,3534.0,2967.0,2912.0,3343.0
Interest expense(figures in $M),CMA,206.0,206.0,57.0,182.0,468.0
Income before tax(figures in $M),CMA,1476.0,1476.0,1490.0,591.0,1532.0
Income tax expense(figures in $M),CMA,325.0,325.0,322.0,117.0,334.0
Income from continuing operations(figures in $M),CMA,1151.0,1151.0,1168.0,474.0,1198.0
Net income(figures in $M),CMA,1151.0,1151.0,1168.0,474.0,1198.0
Net income available to common shareholders(figures in $M),CMA,1122.0,1122.0,1140.0,459.0,1191.0
Basic EPS(figures in $M),CMA,,,8.449999999999999e-06,3.45e-06,7.98e-06
Diluted EPS(figures in $M),CMA,,,8.35e-06,3.43e-06,7.9e-06
Basic average shares(figures in $M),CMA,,,135.0,139.0,150.0
Diluted average shares(figures in $M),CMA,,,137.0,140.0,151.0
