,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),CMCSA,4749.0,8711.0,11740.0,5500.0
Total cash(figures in $M),CMCSA,4749.0,8711.0,11740.0,5500.0
Net receivables(figures in $M),CMCSA,12672.0,12008.0,11466.0,11292.0
Other current assets(figures in $M),CMCSA,4405.0,4088.0,3535.0,8600.0
Total current assets(figures in $M),CMCSA,21826.0,24807.0,26741.0,25392.0
"Gross property, plant and equipment(figures in $M)",CMCSA,112385.0,109658.0,106383.0,101561.0
Accumulated depreciation(figures in $M),CMCSA,-56900.0,-55611.0,-54388.0,-53239.0
"Net property, plant and equipment(figures in $M)",CMCSA,55485.0,54047.0,51995.0,48322.0
Equity and other investments(figures in $M),CMCSA,7740.0,8687.0,8267.0,7683.0
Goodwill(figures in $M),CMCSA,58494.0,70189.0,70669.0,68725.0
Intangible assets(figures in $M),CMCSA,101233.0,105751.0,108094.0,104426.0
Other long-term assets(figures in $M),CMCSA,12497.0,12424.0,8103.0,8866.0
Total non-current assets(figures in $M),CMCSA,235449.0,251098.0,247128.0,238022.0
Total assets(figures in $M),CMCSA,257275.0,275905.0,273869.0,263414.0
Current debt(figures in $M),CMCSA,1743.0,2132.0,3146.0,4452.0
Accounts payable(figures in $M),CMCSA,12544.0,12455.0,11364.0,10826.0
Accrued liabilities(figures in $M),CMCSA,1770.0,11721.0,11323.0,12246.0
Deferred revenues(figures in $M),CMCSA,2380.0,3040.0,2963.0,2768.0
Other current liabilities(figures in $M),CMCSA,9450.0,0.0,0.0,0.0
Total current liabilities(figures in $M),CMCSA,27887.0,29348.0,28796.0,30292.0
Long-term debt(figures in $M),CMCSA,93068.0,92718.0,100614.0,97765.0
Deferred tax liabilities(figures in $M),CMCSA,28714.0,30041.0,28051.0,28180.0
Other long-term liabilities(figures in $M),CMCSA,25568.0,25789.0,23390.0,21931.0
Total non-current liabilities(figures in $M),CMCSA,147350.0,148548.0,152055.0,147876.0
Total liabilities(figures in $M),CMCSA,175237.0,177896.0,180851.0,178168.0
Common stock(figures in $M),CMCSA,51.0,54.0,54.0,54.0
Retained earnings(figures in $M),CMCSA,51609.0,61902.0,56438.0,50695.0
Accumulated other comprehensive income(figures in $M),CMCSA,-2611.0,1480.0,1884.0,1047.0
Total stockholders' equity(figures in $M),CMCSA,80943.0,96092.0,90323.0,82726.0
Total liabilities and stockholders' equity(figures in $M),CMCSA,257275.0,275905.0,273869.0,263414.0
