,2022,2021,2020,2019,2018,ticker
Current ratio,0.783,0.845,0.929,0.838,0.792,CMCSA
Quick ratio,0.625,0.706,0.806,0.554,0.540,CMCSA
Cash ratio,0.170,0.297,0.408,0.182,0.138,CMCSA
Days of sales outstanding,38.091,37.659,40.411,37.833,42.885,CMCSA
Days of inventory outstanding,0,0,0,0,0,CMCSA
Operating cycle,38.091,37.659,40.411,37.833,42.885,CMCSA
Days of payables outstanding,119.817,118.233,125.234,114.735,104.416,CMCSA
Cash conversion cycle,-81.726,-80.575,-84.823,-76.903,-61.530,CMCSA
Gross profit margin,0.685,0.670,0.680,0.684,0.686,CMCSA
Operating profit margin,0.182,0.179,0.169,0.194,0.201,CMCSA
Pretax profit margin,0.076,0.164,0.136,0.156,0.161,CMCSA
Net profit margin,0.044,0.122,0.102,0.120,0.124,CMCSA
Effective tax rate,0.470,0.275,0.239,0.216,0.222,CMCSA
Return on assets,0.021,0.051,0.038,0.050,0.047,CMCSA
Return on equity,0.066,0.147,0.117,0.158,0.164,CMCSA
Return on capital employed,0.096,0.084,0.071,0.091,0.085,CMCSA
Net income per EBT,0.578,0.742,0.749,0.768,0.770,CMCSA
Ebt per ebit,0.420,0.917,0.804,0.805,0.802,CMCSA
Ebit per revenue,0.182,0.179,0.169,0.194,0.201,CMCSA
Debt ratio,0.681,0.645,0.660,0.676,0.707,CMCSA
Debt equity ratio,1.171,0.987,1.149,1.236,1.560,CMCSA
Long term debt to capitalization,0.535,0.491,0.527,0.542,0.600,CMCSA
Total debt to capitalization,0.539,0.497,0.535,0.553,0.609,CMCSA
Interest coverage,5.668,4.863,3.813,4.626,5.367,CMCSA
Cash flow to debt ratio,0.279,0.307,0.238,0.251,0.217,CMCSA
Company equity multiplier,3.178,2.871,3.032,3.184,3.515,CMCSA
Receivables turnover,9.582,9.692,9.032,9.648,8.511,CMCSA
Payables turnover,3.046,3.087,2.915,3.181,3.496,CMCSA
Inventory turnover,0,0,0,0,0,CMCSA
Fixed asset turnover,2.188,2.153,1.992,2.255,2.127,CMCSA
Asset turnover,0.472,0.422,0.378,0.414,0.375,CMCSA
Operating cash flow per share,6.259,6.429,5.400,5.644,5.368,CMCSA
Free cash flow per share,2.997,3.770,2.861,2.914,2.781,CMCSA
Cash per share,1.125,1.922,2.563,1.208,0.843,CMCSA
Payout ratio,0.883,0.320,0.393,0.286,0.286,CMCSA
Operating cash flow sales ratio,0.218,0.250,0.239,0.236,0.257,CMCSA
Free cash flow operating cash flow ratio,0.479,0.586,0.530,0.516,0.518,CMCSA
Cash flow coverage ratios,0.279,0.307,0.238,0.251,0.217,CMCSA
Short term coverage ratios,15.154,13.671,7.863,5.772,5.525,CMCSA
Capital expenditure coverage ratio,-1.919,-2.417,-2.126,-2.068,-2.075,CMCSA
Dividend paid and capex coverage ratio,-2.926,-3.873,-3.301,-2.956,-2.907,CMCSA
Dividend payout ratio,0.883,0.320,0.393,0.286,0.286,CMCSA
Price book value ratio,1.823,2.374,2.657,2.475,2.152,CMCSA
Price to book ratio,1.823,2.374,2.657,2.475,2.152,CMCSA
Price to sales ratio,1.215,1.960,2.318,1.879,1.631,CMCSA
Price earnings ratio,27.482,16.114,22.786,15.681,13.137,CMCSA
Price to free cash flows ratio,11.670,13.351,18.318,15.431,12.243,CMCSA
Price to operating cash flows ratio,5.587,7.828,9.703,7.968,6.343,CMCSA
Price cash flow ratio,5.587,7.828,9.703,7.968,6.343,CMCSA
Price earnings to growth ratio,-0.463,0.452,-1.147,1.462,-0.280,CMCSA
Price sales ratio,1.215,1.960,2.318,1.879,1.631,CMCSA
Dividend yield,0.032,0.020,0.017,0.018,0.022,CMCSA
Enterprise value multiple,6.619,8.532,10.802,8.903,8.934,CMCSA
Price fair value,1.823,2.374,2.657,2.475,2.152,CMCSA
