,ticker,sentiment
2023-04-22 17:22:39,CMCSA,0.7096
2023-04-22 21:02:00,CMCSA,-0.8126
2023-04-22 21:15:00,CMCSA,0.6808
2023-04-23 10:14:00,CMCSA,0.8591
2023-04-23 11:49:00,CMCSA,0.25
2023-04-23 14:11:10,CMCSA,0.4215
2023-04-23 22:46:10,CMCSA,0.3818
2023-04-23 23:02:00,CMCSA,0.2263
2023-04-24 01:12:25,CMCSA,-0.296
2023-04-24 01:15:03,CMCSA,0.3818
2023-04-24 03:24:00,CMCSA,-0.3182
2023-04-24 07:45:00,CMCSA,0.4588
2023-04-24 08:17:00,CMCSA,0.5859
2023-04-24 09:34:06,CMCSA,-0.4939
2023-04-24 12:19:05,CMCSA,-0.197
2023-04-24 12:40:14,CMCSA,0.0258
2023-04-24 14:24:00,CMCSA,-0.5423
2023-04-24 14:42:04,CMCSA,-0.7964
2023-04-24 21:51:00,CMCSA,-0.5423
2023-04-24 22:03:00,CMCSA,0.2023
2023-04-25 00:04:19,CMCSA,0.7351
2023-04-25 08:00:00,CMCSA,0.25
2023-04-25 11:01:42,CMCSA,0.7096
2023-04-26 03:45:00,CMCSA,0.8779
2023-04-26 06:00:00,CMCSA,-0.3818
2023-04-26 08:45:00,CMCSA,0.8779
2023-04-26 09:05:00,CMCSA,0.5423
2023-04-26 13:49:00,CMCSA,0.4939
2023-04-26 14:05:00,CMCSA,-0.34
2023-04-26 18:24:00,CMCSA,0.6369
2023-04-26 19:02:00,CMCSA,0.7184
2023-04-26 20:05:00,CMCSA,0.6808
2023-04-27 00:01:35,CMCSA,-0.5972
2023-04-27 00:16:00,CMCSA,0.7184
2023-04-27 01:10:00,CMCSA,0.2023
2023-04-27 02:08:00,CMCSA,-0.296
2023-04-27 03:44:00,CMCSA,0.3818
2023-04-27 04:01:36,CMCSA,0.0772
2023-04-27 06:14:54,CMCSA,-0.4215
2023-04-27 06:46:00,CMCSA,-0.4206
2023-04-27 06:50:45,CMCSA,0.4939
2023-04-27 07:23:00,CMCSA,0.6369
2023-04-27 07:40:02,CMCSA,-0.1027
2023-04-27 07:58:26,CMCSA,0.6124
2023-04-27 08:30:33,CMCSA,-0.128
2023-04-27 08:55:00,CMCSA,0.7003
2023-04-27 09:16:19,CMCSA,0.296
2023-04-27 09:56:00,CMCSA,0.6705
2023-04-27 13:30:18,CMCSA,0.5994
2023-04-27 16:33:00,CMCSA,-0.3818
2023-04-27 23:16:00,CMCSA,-0.4019
2023-04-28 00:15:00,CMCSA,0.7783
2023-04-28 03:00:00,CMCSA,0.1779
2023-04-28 03:01:00,CMCSA,0.4019
2023-04-28 04:41:00,CMCSA,-0.4019
2023-04-28 06:20:46,CMCSA,0.5106
2023-04-28 07:01:14,CMCSA,-0.296
2023-04-28 08:00:00,CMCSA,0.4019
2023-04-28 08:02:18,CMCSA,-0.3612
2023-04-28 08:02:19,CMCSA,0.3818
2023-04-28 11:21:00,CMCSA,-0.5719
2023-04-29 18:17:00,CMCSA,0.802
2023-04-29 18:51:00,CMCSA,0.2263
2023-04-29 21:29:00,CMCSA,-0.3818
2023-04-30 00:01:00,CMCSA,0.2023
2023-04-30 02:58:00,CMCSA,0.802
2023-04-30 07:50:00,CMCSA,0.2263
2023-04-30 16:24:00,CMCSA,0.5994
2023-04-30 20:33:00,CMCSA,0.802
2023-04-30 20:37:00,CMCSA,-0.296
2023-04-30 21:01:00,CMCSA,0.1027
2023-04-30 21:02:00,CMCSA,0.368
2023-04-30 21:32:00,CMCSA,0.25
2023-05-01 00:59:00,CMCSA,0.5106
2023-05-01 04:21:00,CMCSA,-0.128
2023-05-01 05:10:00,CMCSA,0.0516
2023-05-01 05:14:00,CMCSA,0.5994
2023-05-01 05:27:00,CMCSA,0.2023
2023-05-01 05:50:00,CMCSA,0.5994
2023-05-01 08:15:14,CMCSA,0.296
2023-05-01 09:17:56,CMCSA,0.3818
2023-05-01 10:00:00,CMCSA,0.1027
2023-05-01 17:15:00,CMCSA,-0.6808
2023-05-01 20:08:00,CMCSA,0.2263
2023-05-01 20:33:00,CMCSA,-0.296
2023-05-01 21:47:00,CMCSA,-0.6124
2023-05-02 04:10:00,CMCSA,-0.296
2023-05-02 04:42:00,CMCSA,-0.296
2023-05-02 05:15:10,CMCSA,-0.128
2023-05-02 09:45:00,CMCSA,0.3089
2023-05-02 10:19:00,CMCSA,-0.0516
2023-05-02 11:33:46,CMCSA,0.3818
2023-05-03 04:20:00,CMCSA,0.5574
2023-05-03 05:27:00,CMCSA,0.0772
2023-05-03 06:00:01,CMCSA,0.4767
2023-05-03 06:33:00,CMCSA,0.6369
2023-05-04 03:01:00,CMCSA,0.4215
