,ticker,sentiment
2023-04-04 19:34:00,CME,-0.1779
2023-04-04 22:38:00,CME,-0.1531
2023-04-04 23:40:00,CME,-0.4019
2023-04-05 00:36:00,CME,0.296
2023-04-06 04:57:00,CME,0.6486
2023-04-06 17:56:14,CME,0.6486
2023-04-09 16:43:00,CME,0.296
2023-04-09 20:17:06,CME,0.3818
2023-04-10 19:23:00,CME,0.296
2023-04-11 06:35:01,CME,0.4404
2023-04-11 19:24:00,CME,-0.6369
2023-04-12 09:45:00,CME,-0.2584
2023-04-14 06:38:48,CME,-0.6249
2023-04-16 19:57:00,CME,0.3182
2023-04-17 06:00:00,CME,0.3182
2023-04-19 00:30:00,CME,-0.34
2023-04-19 09:39:44,CME,0.368
2023-04-19 19:30:23,CME,-0.4173
2023-04-20 05:30:12,CME,0.2263
2023-04-20 23:51:00,CME,-0.4215
2023-04-21 05:32:00,CME,0.1779
2023-04-21 18:20:00,CME,0.1779
2023-04-23 21:00:12,CME,0.25
2023-04-24 06:32:13,CME,0.3818
2023-04-24 09:59:00,CME,0.1027
2023-04-25 19:45:00,CME,-0.4215
2023-04-26 01:27:00,CME,0.2023
2023-04-26 04:03:37,CME,0.2023
2023-04-26 04:19:38,CME,0.2023
2023-04-26 08:27:31,CME,0.2023
2023-04-26 09:45:00,CME,0.3089
2023-04-26 20:05:00,CME,0.6808
2023-04-27 03:31:00,CME,0.4019
2023-04-28 00:00:00,CME,-0.1531
2023-04-28 12:19:00,CME,0.4404
2023-05-01 09:45:00,CME,0.5106
2023-05-02 05:00:19,CME,0.4588
2023-05-02 06:30:00,CME,0.5154
2023-05-02 09:45:00,CME,0.3089
2023-05-02 12:34:25,CME,0.2263
2023-05-03 18:15:00,CME,0.4019
2023-05-04 09:45:00,CME,0.5106
2023-05-04 10:12:52,CME,0.6369
2023-05-04 10:48:35,CME,-0.1779
