,2022,2021,2020,2019,2018,ticker
Current ratio,1.275,1.581,1.727,1.608,1.811,CMG
Quick ratio,1.143,1.454,1.628,1.484,1.643,CMG
Cash ratio,0.417,0.933,0.739,0.721,0.555,CMG
Days of sales outstanding,6.536,9.366,23.620,7.073,4.675,CMG
Days of inventory outstanding,1.981,2.052,1.953,2.143,1.990,CMG
Operating cycle,8.517,11.418,25.573,9.216,6.665,CMG
Days of payables outstanding,10.250,10.197,9.007,9.513,10.438,CMG
Cash conversion cycle,-1.733,1.220,16.566,-0.296,-3.773,CMG
Gross profit margin,0.239,0.226,0.174,0.205,0.187,CMG
Operating profit margin,0.134,0.107,0.048,0.079,0.053,CMG
Pretax profit margin,0.137,0.108,0.049,0.082,0.055,CMG
Net profit margin,0.104,0.087,0.059,0.063,0.036,CMG
Effective tax rate,0.239,0.197,-0.211,0.236,0.342,CMG
Return on assets,0.130,0.098,0.059,0.069,0.078,CMG
Return on equity,0.380,0.284,0.176,0.208,0.122,CMG
Return on capital employed,0.193,0.139,0.056,0.100,0.142,CMG
Net income per EBT,0.761,0.803,1.211,0.764,0.658,CMG
Ebt per ebit,1.018,1.010,1.012,1.032,1.039,CMG
Ebit per revenue,0.134,0.107,0.048,0.079,0.053,CMG
Debt ratio,0.658,0.655,0.662,0.670,0.364,CMG
Debt equity ratio,1.576,1.532,1.563,1.694,0,CMG
Long term debt to capitalization,0.596,0.590,0.594,0.614,0,CMG
Total debt to capitalization,0.612,0.605,0.610,0.629,0,CMG
Interest coverage,54.923,-102.934,5.043,13.934,0,CMG
Cash flow to debt ratio,0.355,0.364,0.210,0.253,0,CMG
Company equity multiplier,2.925,2.896,2.962,3.033,1.572,CMG
Receivables turnover,55.844,38.970,15.453,51.606,78.075,CMG
Payables turnover,35.611,35.793,40.524,38.370,34.969,CMG
Inventory turnover,184.270,177.909,186.937,170.290,183.437,CMG
Fixed asset turnover,1.644,1.544,1.375,1.409,3.527,CMG
Asset turnover,1.246,1.134,1.000,1.094,2.147,CMG
Operating cash flow per share,47.509,45.574,23.779,26.014,22.340,CMG
Free cash flow per share,30.305,29.845,10.406,13.977,12.010,CMG
Cash per share,32.284,38.260,34.087,31.751,24.325,CMG
Payout ratio,0,0,0,0,0,CMG
Operating cash flow sales ratio,0.153,0.170,0.111,0.129,0.128,CMG
Free cash flow operating cash flow ratio,0.638,0.655,0.438,0.537,0.538,CMG
Cash flow coverage ratios,0.355,0.364,0.210,0.253,0,CMG
Short term coverage ratios,5.601,5.862,3.242,4.168,0,CMG
Capital expenditure coverage ratio,-2.761,-2.898,-1.778,-2.161,-2.163,CMG
Dividend paid and capex coverage ratio,-2.761,-2.898,-1.778,-2.161,-2.163,CMG
Dividend payout ratio,0,0,0,0,0,CMG
Price book value ratio,16.319,21.408,19.163,13.797,8.335,CMG
Price to book ratio,16.319,21.408,19.163,13.797,8.335,CMG
Price to sales ratio,4.475,6.517,6.469,4.157,2.469,CMG
Price earnings ratio,42.980,75.318,108.815,66.317,68.046,CMG
Price to free cash flows ratio,45.785,58.577,133.265,59.892,35.952,CMG
Price to operating cash flows ratio,29.205,38.361,58.316,32.179,19.329,CMG
Price cash flow ratio,29.205,38.361,58.316,32.179,19.329,CMG
Price earnings to growth ratio,1.100,0.916,114.437,0.672,26.325,CMG
Price sales ratio,4.475,6.517,6.469,4.157,2.469,CMG
Dividend yield,0,0,0,0,0,CMG
Enterprise value multiple,28.191,47.248,53.283,29.522,25.007,CMG
Price fair value,16.319,21.408,19.163,13.797,8.335,CMG
