,headline,final_score,datetime
0,"CMS Energy Corp. stock rises Thursday, outperforms market",90,2023-05-04 09:45:00
1,CMS Energy announces cash tender offers for up to $150 million of outstanding debt securities issued by CMS Energy and Consumers Energy,60,2023-05-03 14:20:00
2,"CMS Energy Corp. stock falls Wednesday, still outperforms market",90,2023-05-03 09:46:00
3,CMS Energy (CMS) Receives a Hold from RBC Capital,86,2023-05-03 01:45:00
4,CMS Energy Corp. stock outperforms market despite losses on the day,90,2023-05-02 09:45:00
6,CMS Energy Prices Upsized Offering of $700 Million of 3.375% Convertible Senior Notes Due 2028,86,2023-05-02 03:55:00
7,CMS Energy management to meet with Mizuho,86,2023-05-02 01:10:00
8,"CMS Energy down 1%, prices $700M notes",86,2023-05-01 23:51:00
9,"CMS Energy Corp. stock falls Monday, underperforms market",90,2023-05-01 09:45:00
10,CMS Energy Announces Proposed Offering of $650 Million of Convertible Senior Notes Due 2028,86,2023-05-01 03:55:00
11,CMS Energy to offer $650M of debt offering in a private placement,86,2023-05-01 00:00:00
13,"CMS Energy First Quarter 2023 Earnings: EPS Beats Expectations, Revenues Lag",86,2023-04-29 05:06:30
14,CMS Energy Corp. stock outperforms competitors despite losses on the day,90,2023-04-28 09:45:00
15,CMS Energy Corporation (CMS) Q1 2023 Earnings Call Transcript,90,2023-04-27 09:13:12
16,"Henry Ford Health, 7-Eleven, Over a Dozen Others Make Commitments through Consumers Energy's Business Renewable Energy Program",57,2023-04-27 07:00:00
17,"CMS Energy (CMS) Q1 Earnings Beat Estimates, Revenues Fall Y/Y",86,2023-04-27 06:28:01
18,CMS Energy (CMS) Q1 Earnings Surpass Estimates,86,2023-04-27 04:45:11
19,"CMS Energy Announces First Quarter Results, Reaffirms 2023 Adjusted EPS Guidance",86,2023-04-27 03:30:00
20,CMS Energy (NYSE:CMS) Has Announced That It Will Be Increasing Its Dividend To $0.4875,86,2023-04-27 03:09:08
21,CMS Energy: Q1 Earnings Snapshot,86,2023-04-26 23:42:00
22,"CMS Energy Non-GAAP EPS of $0.70 in-line, revenue of $2.28B misses by $40M",86,2023-04-26 22:36:00
23,"CMS Energy Corp. stock falls Wednesday, underperforms market",90,2023-04-26 09:45:00
24,"Utilities Q1 Earnings Due on Apr 27: DTE, CMS, XEL & More",86,2023-04-26 08:28:03
25,CMS Energy Q1 2023 Earnings Preview,86,2023-04-25 18:13:00
26,Entergy: This Renewable-Focused Utility Could Be Worthy Of Purchase Today,51,2023-04-25 10:27:32
27,CMS Energy Corp. stock underperforms Tuesday when compared to competitors despite daily gains,90,2023-04-25 09:45:00
29,CMS Energy (CMS) Declares $0.49 Dividend,86,2023-04-24 18:07:37
30,Guggenheim Maintains CMS Energy (CMS) Neutral Recommendation,86,2023-04-24 10:17:05
31,CMS Energy price target lowered to $65 from $68 at Guggenheim,86,2023-04-24 01:45:00
32,"CMS Energy Corp. stock rises Monday, outperforms market",90,2023-04-23 20:47:00
33,CMS Energy's Board of Directors Declares Quarterly Dividend on Common Stock,86,2023-04-21 12:00:00
34,What's in the Offing for CMS Energy (CMS) in Q1 Earnings?,86,2023-04-21 08:08:03
35,CMS Energy declares $0.4875 dividend,86,2023-04-20 21:22:00
36,CMS Energy Corp. stock outperforms market on strong trading day,90,2023-04-20 20:46:00
37,Morgan Stanley Maintains CMS Energy (CMS) Equal-Weight Recommendation,86,2023-04-20 15:05:17
38,CMS Energy Corp. stock underperforms Thursday when compared to competitors,90,2023-04-20 09:45:00
39,Earnings Preview: CMS Energy (CMS) Q1 Earnings Expected to Decline,86,2023-04-20 07:02:02
40,Interesting CMS Put And Call Options For December 15th,86,2023-04-20 03:04:00
41,Mizuho Maintains CMS Energy (CMS) Buy Recommendation,86,2023-04-19 10:39:50
42,CMS Energy Corp. stock outperforms competitors on strong trading day,90,2023-04-19 09:45:00
43,CMS Energy price target lowered to $68 from $69 at Mizuho,86,2023-04-18 22:37:00
44,CMS Energy Corp. stock underperforms Tuesday when compared to competitors,90,2023-04-18 09:45:00
45,There Are Reasons To Feel Uneasy About CMS Energy's (NYSE:CMS) Returns On Capital,86,2023-04-18 06:13:04
48,CMS Energy Corp. stock underperforms Friday when compared to competitors,90,2023-04-14 09:45:00
49,J.P. Morgan Sticks to Their Buy Rating for CMS Energy (CMS),86,2023-04-14 00:06:00
50,"CMS Energy Corp. stock rises Thursday, still underperforms market",90,2023-04-13 09:45:00
51,CMS Energy Corp. stock underperforms Wednesday when compared to competitors,90,2023-04-12 09:45:00
52,"CMS Energy Corp. stock falls Tuesday, underperforms market",90,2023-04-11 09:45:00
53,"Consumers Energy Foundation Gives $500,000 to The Nature Conservancy, Genesee Conservation District",86,2023-04-11 05:00:00
54,CMS Energy to Announce 2023 First Quarter Results on April 27,86,2023-04-06 13:30:00
55,"CMS Energy Corp. stock rises Wednesday, outperforms market",90,2023-04-05 09:45:00
56,Consumers Energy Installing More Than 120 New Automatic Transfer Reclosers to Improve Electric Reliability,86,2023-04-05 03:00:00
57,"Analysts Are Bullish on Top Utilities Stocks: CMS Energy (CMS), Exxon Mobil (XOM)",86,2023-04-04 23:10:00
58,CMS Energy to install 123 new automatic transfer reclosers in 2023,86,2023-04-04 22:09:00
59,"CMS Energy Corp. stock rises Friday, still underperforms market",90,2023-03-31 09:45:00
60,"CMS Energy: Attractive Total Return Potential, Valuation Make Strong Case",86,2023-03-30 10:24:08
61,"CMS Energy Corp. stock rises Wednesday, still underperforms market",90,2023-03-29 09:45:00
62,"CMS Energy Corp. stock rises Friday, outperforms market",90,2023-03-24 09:45:00
63,"CMS Energy Corp. stock falls Thursday, underperforms market",90,2023-03-23 09:45:00
64,Seven Domino's Pizza Locations Join Consumers Energy in Powering Electric Vehicle Commitment in Michigan,86,2023-03-23 03:00:00
66,"CMS Energy Corp. stock falls Friday, still outperforms market",90,2023-03-17 09:45:00
67,WEC Energy Group: Some Good Things But Overly Expensive,86,2023-03-16 06:10:13
68,CMS May 19th Options Begin Trading,86,2023-03-16 04:38:00
69,CMS Energy management to meet with KeyBanc,86,2023-03-15 20:55:00
70,DTE Energy Offers Stability At A Price,86,2023-03-14 10:48:54
71,"CMS Energy Corp. stock rises Tuesday, still underperforms market",90,2023-03-14 09:45:00
72,Should You Be Adding CMS Energy (NYSE:CMS) To Your Watchlist Today?,86,2023-03-14 03:48:19
73,OGE Energy: A Safe Haven In Uncertain Times,86,2023-03-13 12:44:22
74,"CMS Energy Corp. stock falls Friday, underperforms market",90,2023-03-10 08:45:00
75,J.P. Morgan Reaffirms Their Buy Rating on CMS Energy (CMS),86,2023-03-08 22:06:00
78,CMS Energy upgraded to Buy at BofA on above-average EPS growth,86,2023-03-07 22:38:00
79,CMS Energy upgraded to Buy from Neutral at BofA,86,2023-03-07 21:05:00
80,"Consumers Energy Foundation to Award $50,000 for Small Towns in Put Your Town on the Map Competition",86,2023-03-07 03:00:00
81,"CMS Energy Corp. stock rises Monday, still underperforms market",90,2023-03-06 08:45:00
