,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),CNP,74.0,230.0,147.0,241.0
Other short-term investments(figures in $M),CNP,510.0,1439.0,871.0,822.0
Total cash(figures in $M),CNP,584.0,1669.0,147.0,1063.0
Net receivables(figures in $M),CNP,889.0,690.0,676.0,702.0
Inventory(figures in $M),CNP,876.0,608.0,500.0,472.0
Other current assets(figures in $M),CNP,1556.0,1395.0,2773.0,3606.0
Total current assets(figures in $M),CNP,4699.0,7355.0,2920.0,3937.0
"Gross property, plant and equipment(figures in $M)",CNP,37728.0,33673.0,32514.0,30324.0
Accumulated depreciation(figures in $M),CNP,-10585.0,-10189.0,-10152.0,-9700.0
"Net property, plant and equipment(figures in $M)",CNP,27143.0,23484.0,22362.0,20624.0
Equity and other investments(figures in $M),CNP,0.0,0.0,1146.0,2771.0
Goodwill(figures in $M),CNP,4294.0,4294.0,4697.0,4882.0
Intangible assets(figures in $M),CNP,38.0,0.0,0.0,321.0
Other long-term assets(figures in $M),CNP,177.0,220.0,252.0,1198.0
Total non-current assets(figures in $M),CNP,33847.0,30324.0,30551.0,31592.0
Total assets(figures in $M),CNP,38546.0,37679.0,33471.0,35529.0
Current debt(figures in $M),CNP,2020.0,545.0,1919.0,868.0
Accounts payable(figures in $M),CNP,1352.0,1196.0,853.0,884.0
Accrued liabilities(figures in $M),CNP,159.0,136.0,145.0,158.0
Deferred revenues(figures in $M),CNP,110.0,111.0,119.0,124.0
Other current liabilities(figures in $M),CNP,1030.0,1790.0,2906.0,1705.0
Total current liabilities(figures in $M),CNP,5113.0,4287.0,4825.0,3978.0
Long-term debt(figures in $M),CNP,14836.0,15558.0,11521.0,14244.0
Deferred tax liabilities(figures in $M),CNP,3986.0,3904.0,3603.0,3928.0
Other long-term liabilities(figures in $M),CNP,774.0,836.0,1726.0,738.0
Total non-current liabilities(figures in $M),CNP,23388.0,23977.0,20298.0,23192.0
Total liabilities(figures in $M),CNP,28501.0,28264.0,25123.0,27170.0
Common stock(figures in $M),CNP,799.0,796.0,2369.0,1745.0
Retained earnings(figures in $M),CNP,709.0,154.0,-845.0,632.0
Accumulated other comprehensive income(figures in $M),CNP,-31.0,-64.0,-90.0,-98.0
Total stockholders' equity(figures in $M),CNP,10045.0,9415.0,8348.0,8359.0
Total liabilities and stockholders' equity(figures in $M),CNP,38546.0,37679.0,33471.0,35529.0
