,ticker,sentiment
2023-04-05 03:14:00,CNP,-0.3182
2023-04-06 09:46:00,CNP,0.2732
2023-04-10 09:46:00,CNP,0.2732
2023-04-10 11:46:06,CNP,0.0258
2023-04-11 09:46:00,CNP,0.2732
2023-04-12 09:45:00,CNP,0.6597
2023-04-13 08:40:03,CNP,0.6486
2023-04-13 09:46:00,CNP,0.2732
2023-04-13 21:41:00,CNP,0.2732
2023-04-13 23:26:00,CNP,0.2732
2023-04-14 09:46:00,CNP,0.2732
2023-04-14 14:28:01,CNP,0.4588
2023-04-14 16:37:23,CNP,0.5106
2023-04-18 06:40:01,CNP,0.2732
2023-04-18 16:38:19,CNP,0.2808
2023-04-20 00:35:00,CNP,0.2732
2023-04-20 03:04:00,CNP,0.2732
2023-04-20 05:38:44,CNP,0.2732
2023-04-20 07:03:02,CNP,0.2732
2023-04-20 09:46:00,CNP,0.2732
2023-04-20 14:05:55,CNP,-0.1027
2023-04-20 16:07:00,CNP,0.2732
2023-04-22 14:45:00,CNP,0.34
2023-04-22 19:26:48,CNP,0.2732
2023-04-24 03:05:42,CNP,0.2732
2023-04-24 03:30:00,CNP,0.2732
2023-04-24 06:40:01,CNP,0.2732
2023-04-25 01:47:00,CNP,0.2732
2023-04-25 09:46:00,CNP,0.6597
2023-04-26 09:46:00,CNP,0.2732
2023-04-26 13:30:00,CNP,0.5574
2023-04-26 22:29:00,CNP,0.2732
2023-04-27 03:25:00,CNP,0.6597
2023-04-27 04:12:06,CNP,0.2732
2023-04-27 04:14:18,CNP,0.2732
2023-04-27 04:14:34,CNP,0.4215
2023-04-27 08:07:03,CNP,0.2732
2023-04-28 09:46:00,CNP,0.2732
2023-05-01 09:46:00,CNP,0.2732
2023-05-02 00:08:14,CNP,0.7269
2023-05-02 01:30:00,CNP,0.8225
2023-05-02 09:46:00,CNP,0.2732
2023-05-03 01:46:00,CNP,0.4404
2023-05-03 03:05:09,CNP,0.2732
2023-05-03 09:46:00,CNP,0.2732
