,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CNX,"2,206","1,879","2,074","2,133","2,329"
Dividend,CNX,0.00,0.00,-,-,-
Dividend Yield (in %),CNX,-,-,-,-,-
EPS,CNX,1.68,1.95,2.48,2.63,3.47
P/E Ratio,CNX,8.71,7.49,5.88,5.56,4.21
EBIT(In $M),CNX,539,629,824,821,"1,015"
EBITDA(In $M),CNX,"1,028","1,146","1,237","1,299","1,494"
Net Profit(In $M),CNX,327,370,474,511,674
Net Profit Adjusted(In $M),CNX,327,370,474,511,674
Pre-Tax Profit(In $M),CNX,"1,024",481,623,690,911
Net Profit (Adjusted)(In $M),CNX,"1,024",481,623,690,911
EPS (Non-GAAP) ex. SOE(In $),CNX,1.68,1.95,2.48,2.63,3.47
EPS (GAAP)(In $),CNX,3.60,1.83,2.64,2.63,3.47
Gross Income(In $M),CNX,-,-,-,-,-
Cash Flow from Investing(In $M),CNX,-632,-652,-674,-680,-680
Cash Flow from Operations(In $M),CNX,860,"1,002","1,085","1,247","1,245"
Cash Flow from Financing(In $M),CNX,-209,-227,-188,-331,-350
Cash Flow per Share(In $),CNX,4.48,5.26,5.93,5.55,6.54
Free Cash Flow(In $M),CNX,239,329,389,739,-
Free Cash Flow per Share(In $),CNX,-,-,-,-,-
Book Value per Share(In $),CNX,22.35,25.14,29.24,-,-
Net Debt(In $M),CNX,"2,189","2,104","1,880",-,-
Research & Development Exp.(In $M),CNX,-,-,-,-,-
Capital Expenditure(In $M),CNX,650,666,678,678,680
"Selling, General & Admin. Exp.(In $M)",CNX,129,132,135,-,-
Shareholder’s Equity(In $M),CNX,"4,618","4,887","5,634","10,495","11,019"
Total Assets(In $M),CNX,"8,566","8,854","9,256","9,950","10,393"
