,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CNX,3924.986,3924.986,2389.525,1084.996,1546.344
Cost of revenue(figures in $M),CNX,1127.881,1127.881,1032.836,953.009,1022.459
Gross profit(figures in $M),CNX,2797.105,2797.105,1356.689,131.987,523.885
Selling general and administrative(figures in $M),CNX,121.697,121.697,112.757,109.375,143.55
Total operating expenses(figures in $M),CNX,193.76,193.76,202.038,209.841,267.185
Operating income or loss(figures in $M),CNX,2603.345,2603.345,1154.651,-77.854,256.7
Interest expense(figures in $M),CNX,127.689,127.689,151.156,170.806,151.379
Total other income/expenses net(figures in $M),CNX,-2687.603,-2687.603,-1640.008,-354.171,-45.637
Income before tax(figures in $M),CNX,-211.947,-211.947,-636.513,-602.831,59.684
Income tax expense(figures in $M),CNX,-69.87,-69.87,-137.87,-174.087,27.736
Income from continuing operations(figures in $M),CNX,-142.077,-142.077,-498.643,-428.744,31.948
Net income(figures in $M),CNX,-142.077,-142.077,-498.643,-483.775,-80.73
Net income available to common shareholders(figures in $M),CNX,-142.077,-142.077,-498.643,-483.775,-80.73
Basic EPS(figures in $M),CNX,,-7.5e-07,-2.31e-06,-2.43e-06,-4.2e-07
Diluted EPS(figures in $M),CNX,,-7.5e-07,-2.31e-06,-2.43e-06,-4.2e-07
Basic average shares(figures in $M),CNX,,189.508,215.971,199.225,190.727
Diluted average shares(figures in $M),CNX,,189.508,215.971,199.225,190.727
EBITDA(figures in $M),CNX,,376.957,29.761,69.796,719.526
